CELLID,LAT,LON,MONTH,DAY,AEZID,PHIHOX,CRFVOL,SNDPPT,CLYPPT,SLTPPT,CECsd2,NTOxd1,EACKCL,BLDsd2,ORCDRC,MEAN_DRAINFAO,MAJORITY_DRAINFAO,MEDIAN_DRAINFAO,BetaMaizePrize,BetaCVMaizePrice,BetaUreaPrice,BetaCVUreaPrice
0,16.375,-16.375,7,9,7,71.99654012,10.04766939,48.39759731,30.37472369,21.22652571,20.47381067,1.060869293,1.102014839,1396.23,13.70485344,2.851609803,2,2,-9999,-9999,-9999,-9999
1,16.375,-16.125,7,9,7,72.43197343,10.74962049,50.15948767,27.95151803,21.88434535,18.75132827,0.959884155,0.799898268,1441.94,10.9373814,2.79573055,2,2,-9999,-9999,-9999,-9999
2,16.375,-15.875,7,8,7,70.03661904,8.743546644,55.58014167,23.44567175,20.97286589,15.67763237,0.855153439,0.3925559,1442.13,8.532837075,3.29811502,2,3,-9999,-9999,-9999,-9999
3,16.375,-15.625,7,8,7,66.34101931,6.889730282,64.85867438,19.49068323,15.65089764,11.83017102,0.450204288,0.164182216,1424.17,3.347230494,4.627839701,5,5,-9999,-9999,-9999,-9999
4,16.375,-15.375,7,8,7,65.94146163,5.288210006,76.58712156,13.80554285,9.610994238,8.964419647,0.309547425,0.057129775,1391.69,0.931400348,4.991402177,5,5,-9999,-9999,-9999,-9999
5,16.375,-13.625,7,8,7,68.08177808,15.52258935,63.62097048,19.78927723,16.5892433,13.87444859,0.291328557,0.040710772,1347.78,2.598280512,5.112103844,5,5,-9999,-9999,-9999,-9999
6,16.375,-13.125,7,8,8,66.26616915,6.18039801,65.97084577,18.27034826,15.75860697,11.11452736,0.348514328,0.087509095,1397.27,2.169353234,5.230248756,5,5,-9999,-9999,-9999,-9999
7,16.375,-12.875,7,8,8,67.18120495,3.268804288,73.26427647,13.22334134,13.51136574,8.765754944,0.309248567,0.05933888,1418.04,2.036684532,5.141193864,5,5,-9999,-9999,-9999,-9999
8,16.375,-12.625,7,5,8,67.00800326,8.848232582,66.43271839,16.35675529,17.20225176,10.5465274,0.318262167,0.052641928,1373.97,2.319928279,5.153304303,5,5,-9999,-9999,-9999,-9999
9,16.375,-12.375,7,8,8,68.3763388,12.51826353,55.24339196,23.43224919,21.31895451,12.82067407,0.327852075,0.053372763,1401.98,2.530789826,4.975425512,5,5,-9999,-9999,-9999,-9999
10,16.375,-12.125,7,8,8,67.92913992,13.04458708,55.98836115,23.66033376,20.3491656,12.29148481,0.345619427,0.049494373,1393.81,2.373555841,5.022250749,5,5,-9999,-9999,-9999,-9999
11,16.375,-11.875,7,6,8,69.18842679,14.68944946,61.52215783,21.85435487,16.6170104,11.24740072,0.478731038,0.125363054,1481.1,3.950059656,5.354951423,5,5,-9999,-9999,-9999,-9999
12,16.375,-11.625,7,6,8,67.69330282,7.549308389,81.03144592,9.423226192,9.551298637,5.411881779,0.370300428,0.126617295,1376.5,2.359737287,5.371181212,5,5,-9999,-9999,-9999,-9999
13,16.375,-10.625,7,4,7,65.13626925,6.981571206,64.84045683,19.36572071,15.80005191,8.903530023,0.420454058,0.098486987,1480.04,2.992645786,5.301436235,5,5,-9999,-9999,-9999,-9999
14,16.375,-10.375,7,4,7,66.59553464,7.550881078,69.43094381,16.96106652,13.60762063,8.841590553,0.425911615,0.099381382,1419.49,2.599963096,5.239136452,5,5,-9999,-9999,-9999,-9999
15,16.375,-9.875,6,29,7,66.51796172,3.619875885,72.26195263,14.0689625,13.67756315,8.535180491,0.358531597,0.12329806,1358.4,2.714098418,5.063018967,5,5,-9999,-9999,-9999,-9999
