ObjectID,locationid,addedbyus,country,location,region,latitude,longitude,elevm,InStudy,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007
1,6,0,ANGOLA,CABINDA,Eastern and Southern Africa,-5.6,12.2,22,1,0,0,0,1,1,1,0,0,0
2,7,0,ANGOLA,CACUSO,Eastern and Southern Africa,-9.42,15.75,1067,1,0,0,0,0,1,1,1,0,0
3,8,0,ANGOLA,CELA,Eastern and Southern Africa,-11.42,15.12,1305,1,0,0,0,0,1,1,1,1,0
4,9,0,ANGOLA,CHIANGA,Eastern and Southern Africa,-12.73,15.83,1693,1,0,1,1,0,1,1,1,0,0
5,10,0,ANGOLA,HUMPATA,Eastern and Southern Africa,-15.03,13.43,1890,1,0,0,0,1,1,1,1,0,0
6,11,0,ANGOLA,KILOMBA,Eastern and Southern Africa,-8.9,14.7,514,1,0,0,0,0,1,0,0,0,0
7,12,0,ANGOLA,KILOMBO,Eastern and Southern Africa,-8.91,14.73,766,1,0,0,0,0,1,0,0,0,0
8,14,0,ANGOLA,MALANGE,Eastern and Southern Africa,-9.533,16.333,1149,1,0,0,1,0,0,0,1,0,0
9,15,0,ANGOLA,MAZOZO,Eastern and Southern Africa,-9.1,13.7,41,1,0,1,1,0,1,1,0,0,0
10,16,0,ANGOLA,MAZOZO EXPERIMENTAL STATION,Eastern and Southern Africa,-9.1,13.7,41,1,0,1,0,0,0,0,0,0,0
11,17,0,ANGOLA,POLIGNO-FLORESTA,Eastern and Southern Africa,-9.52,16.32,1162,1,0,0,1,0,0,0,0,0,0
12,18,0,ANGOLA,ST. VINCENT,Eastern and Southern Africa,-5.57,12.2,57,1,0,1,1,0,0,0,0,0,0
13,77,0,BOTSWANA,GOODHOPE,Eastern and Southern Africa,-25.48,25.47,1268,1,1,1,1,1,1,1,0,0,0
14,78,0,BOTSWANA,HUKUNTSI,Eastern and Southern Africa,-24,21.8,1140,1,0,0,1,0,0,1,0,0,0
15,80,0,BOTSWANA,PELOTSHETLHA,Eastern and Southern Africa,-23.03,26.517,1111,1,0,0,0,1,1,1,0,0,0
16,81,0,BOTSWANA,SEBELE,Eastern and Southern Africa,-24.57,25.95,995,1,0,0,1,1,1,1,1,0,0
17,286,0,ETHIOPIA,BAKO,Eastern and Southern Africa,9.1,37.15,1680,1,0,1,1,0,1,1,1,1,1
18,295,0,ETHIOPIA,MELKASA,Eastern and Southern Africa,8.4,39.33,1545,1,0,0,0,0,1,0,0,0,0
19,300,0,ETHIOPIA,PAWE,Eastern and Southern Africa,11.23,38,1499,1,0,0,1,0,0,0,0,0,0
20,464,0,KENYA,ALUPE,Eastern and Southern Africa,0.5,34.11,1168,1,0,1,0,0,0,0,0,0,0
21,469,0,KENYA,BUNGOMA,Eastern and Southern Africa,0.567,34.567,1414,1,0,0,1,0,0,1,1,1,1
22,474,0,KENYA,EMBU,Eastern and Southern Africa,-0.5,37.45,1492,1,0,1,1,0,0,0,0,0,0
23,480,0,KENYA,KAKAMEGA,Eastern and Southern Africa,0.27,34.74,1526,1,0,0,1,0,0,0,1,0,0
24,487,0,KENYA,KIBOKO,Eastern and Southern Africa,-2.25,37.73,990,1,0,0,1,0,0,0,0,0,0
25,492,0,KENYA,KITALE,Eastern and Southern Africa,1.01,35,1859,1,0,1,1,0,0,1,1,1,0
26,501,0,KENYA,MTWAPA,Eastern and Southern Africa,-3.93,39.75,23,1,1,0,0,0,0,0,0,0,0
27,507,0,KENYA,SIGOR,Eastern and Southern Africa,1.483,35.467,976,1,0,1,0,0,0,0,0,0,0
28,513,0,LESOTHO,LERIBE,Eastern and Southern Africa,-28.88,28.05,1621,1,0,1,1,0,1,1,0,0,0
