"","LocationID","Country","Location","Region","Latitude","Longitude","ElevM","bulk_density","carbon_organic","cation_exchange_capacity","clay_content","nitrogen_total","ph","sand_content","silt_content"
"2",6,"ANGOLA","CABINDA","Eastern and Southern Africa",-5.6,12.2,22,1.4,8.02501349943412,7.16616991256765,21,1479.29992758455,5.9,67,13
"3",7,"ANGOLA","CACUSO","Eastern and Southern Africa",-9.42,15.75,1067,1.4,8.97418245481472,8.02501349943412,21,600.845037872082,5.9,67,13
"4",8,"ANGOLA","CELA","Eastern and Southern Africa",-11.42,15.12,1305,1.34,8.97418245481472,11.1824939607035,25,220.406416204187,5.8,62,12
"5",9,"ANGOLA","CHIANGA","Eastern and Southern Africa",-12.73,15.83,1693,1.28,11.1824939607035,13.8797317248728,30,543.571910125929,5.8,53,14
"6",10,"ANGOLA","HUMPATA","Eastern and Southern Africa",-15.03,13.43,1890,1.35,10.0231763806416,12.4637380350017,25,600.845037872082,5.8,63,14
"7",11,"ANGOLA","KILOMBA","Eastern and Southern Africa",-8.9,14.7,514,1.15,13.8797317248728,13.8797317248728,34,13358.7268296619,5.2,50,17
"8",12,"ANGOLA","KILOMBO","Eastern and Southern Africa",-8.91,14.73,766,1.15,13.8797317248728,13.8797317248728,34,18032.7449278285,5.3,46,14
"9",13,"ANGOLA","KILOMBO EXPERIMENTAL STATION","Eastern and Southern Africa",-8.9,14.7,514,1.15,13.8797317248728,13.8797317248728,34,13358.7268296619,5.2,50,17
"10",14,"ANGOLA","MALANGE","Eastern and Southern Africa",-9.533,16.333,1149,1.37,8.97418245481472,7.16616991256765,22,364.037467865329,6.3,64,14
"11",15,"ANGOLA","MAZOZO","Eastern and Southern Africa",-9.1,13.7,41,1.43,8.02501349943412,10.0231763806416,24,664.141633044362,6.6,63,13
"12",16,"ANGOLA","MAZOZO EXPERIMENTAL STATION","Eastern and Southern Africa",-9.1,13.7,41,1.43,8.02501349943412,10.0231763806416,24,664.141633044362,6.6,63,13
