FID,Shape,LocationID,Country,Location,Region,Latitude,Longitude,ElevM,File1,File2,File3,File4,BLD,CEC,CLYPPT,CRFVOL,DRAINFAO,EACKCL,NTO,ORCDRC,PHIHOX,SLTPPT,SNDPPT
0,"(39.0, 15.0)",278,ERITREA,HALHALE,Eastern and Southern Africa,15,39,1837,lat14.875_long38.875.txt,lat15.125_long38.875.txt,lat14.875_long39.125.txt,lat15.125_long39.125.txt,1455,21,32,15,5,0.507749975,1.69749999,27,65,25,43
1,"(37.83, 14.92)",279,ERITREA,SHAMBIKO,Eastern and Southern Africa,14.92,37.83,906,lat14.875_long37.875.txt, , , ,1493,21,32,25,5,0,0.631500006,7,70,23,46
2,"(38.0, 11.23)",300,ETHIOPIA,PAWE,Eastern and Southern Africa,11.23,38,1499,lat11.125_long37.875.txt,lat11.125_long38.125.txt, , ,1240,46,35,21,5,0.045449998,1.805000067,16,73,31,34
3,"(37.15, 9.1)",286,ETHIOPIA,BAKO,Eastern and Southern Africa,9.1,37.15,1680,lat9.125_long37.125.txt, , , ,1130,31,48,12,5,3.962500095,2.042500019,25,59,27,25
4,"(39.33, 8.4)",295,ETHIOPIA,MELKASA,Eastern and Southern Africa,8.4,39.33,1545,lat8.375_long39.375.txt, , , ,1128,40,35,0,4,0.0027475,1.720000029,21,72,36,29
5,"(35.0, 1.01)",492,KENYA,KITALE,Eastern and Southern Africa,1.01,35,1859,lat1.125_long34.875.txt,lat1.125_long35.125.txt, , ,1098,32,40,1,5,0.833999991,3.269999981,23,58,29,32
6,"(35.467, 1.483)",507,KENYA,SIGOR,Eastern and Southern Africa,1.483,35.467,976,lat1.375_long35.375.txt, , , ,1450,13,27,5,5,0.106024995,0.777999997,8,66,20,54
7,"(33.45, 1.517)",963,UGANDA,SERERE,Eastern and Southern Africa,1.517,33.45,1106,lat1.625_long33.375.txt, , , ,1223,11,34,3,5,2.900000095,1.277499914,9,60,17,50
8,"(0.0, 0.0)",5,ANGOLA,ANGOLA,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
9,"(0.0, 0.0)",210,CONGO,TSHIBATI,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10,"(0.0, 0.0)",299,ETHIOPIA,NULL,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
11,"(34.11, 0.5)",464,KENYA,ALUPE,Eastern and Southern Africa,0.5,34.11,1168,lat0.375_long34.125.txt,lat0.625_long34.125.txt, , ,1228,14,44,0,4,6.022500038,1.722500086,15,53,22,35
12,"(34.567, 0.567)",469,KENYA,BUNGOMA,Eastern and Southern Africa,0.567,34.567,1414,lat0.625_long34.625.txt, , , ,1265,10,29,2,4,1.382499933,1.597499967,17,57,24,47
13,"(34.74, 0.27)",480,KENYA,KAKAMEGA,Eastern and Southern Africa,0.27,34.74,1526,lat0.375_long34.625.txt, , , ,1163,17,50,0,5,6.862500191,2.757499933,24,55,26,24
14,"(0.0, 0.0)",525,MALAWI,BAKA RESEARCH STATION,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
15,"(0.0, 0.0)",535,MALAWI,MPHIMBI,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
16,"(0.0, 0.0)",537,MALAWI,NOT IDENTIFIED,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
17,"(0.0, 0.0)",733,MOZAMBIQUE,MOZAMBIQUE,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
18,"(0.0, 0.0)",740,MOZAMBIQUE,SEMOL,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19,"(0.0, 0.0)",742,MOZAMBIQUE,UMBELUZI,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20,"(0.0, 0.0)",743,MOZAMBIQUE,USSUDENGA,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
21,"(0.0, 0.0)",752,NAMIBIA,MASHARE,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
22,"(0.0, 0.0)",753,NAMIBIA,MITKOMST RESEARCH STATION,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
23,"(0.0, 0.0)",867,SOUTH AFRICA,FREIDENHEIM VALLEY,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
24,"(0.0, 0.0)",868,SOUTH AFRICA,FRIEDENHEIM VALLEY,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
25,"(0.0, 0.0)",870,SOUTH AFRICA,MPUMALANGA,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
26,"(0.0, 0.0)",874,SOUTH AFRICA,PETIT,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
27,"(0.0, 0.0)",876,SOUTH AFRICA,TSHIOMBO,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
28,"(0.0, 0.0)",893,SWAZILAND,LES,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
29,"(0.0, 0.0)",899,SWAZILAND,SHEWULA,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
30,"(0.0, 0.0)",900,SWAZILAND,SWAZILAND,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
31,"(0.0, 0.0)",906,TANZANIA,ARUSHA SEED FARM AFSF,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
32,"(0.0, 0.0)",930,TANZANIA,TANZANIA,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
33,"(0.0, 0.0)",951,UGANDA,BULEGENI,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
34,"(0.0, 0.0)",952,UGANDA,BULENGENI,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
35,"(31.25, -0.25)",953,UGANDA,KAMAYANMIGGO,Eastern and Southern Africa,-0.25,31.25,1322,lat-0.375_long31.125.txt,lat-0.125_long31.125.txt,lat-0.375_long31.375.txt,lat-0.125_long31.375.txt,1313,14,36,4,5,0.900250018,1.625,18,57,17,47
36,"(31.25, -0.25)",954,UGANDA,KAMENYAMIGGO,Eastern and Southern Africa,-0.25,31.25,1322,lat-0.375_long31.125.txt,lat-0.125_long31.125.txt,lat-0.375_long31.375.txt,lat-0.125_long31.375.txt,1313,14,36,4,5,0.900250018,1.625,18,57,17,47
37,"(0.0, 0.0)",959,UGANDA,MSK,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
38,"(34.1167, 0.5333)",960,UGANDA,NAARI,Eastern and Southern Africa,0.5333,34.1167,1161,lat0.625_long34.125.txt, , , ,1270,12,36,0,4,3.325000048,1.49000001,15,56,18,46
39,"(32.58, 0.53)",961,UGANDA,NAMULONGE,Eastern and Southern Africa,0.53,32.58,1192,lat0.625_long32.625.txt, , , ,1325,16,39,9,5,1.342499971,1.672500014,26,56,24,37
40,"(32.58, 0.53)",962,UGANDA,NAMULONGE UGA,Eastern and Southern Africa,0.53,32.58,1192,lat0.625_long32.625.txt, , , ,1325,16,39,9,5,1.342499971,1.672500014,26,56,24,37
41,"(0.0, 0.0)",965,UGANDA,UGANDA,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
42,"(0.0, 0.0)",1021,ZAMBIA,CHISAMBA,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
43,"(0.0, 0.0)",1026,ZAMBIA,KUTUMANI,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
44,"(0.0, 0.0)",1027,ZAMBIA,LYEMPE,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
45,"(0.0, 0.0)",1028,ZAMBIA,MAGOBO,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
46,"(0.0, 0.0)",1039,ZAMBIA,ZAMBIA,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
47,"(0.0, 0.0)",1046,ZIMBABWE,CIMMYT HARARE,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
48,"(0.0, 0.0)",1060,ZIMBABWE,PANNAR,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
49,"(0.0, 0.0)",1061,ZIMBABWE,PIONEER,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50,"(0.0, 0.0)",1069,ZIMBABWE,ZIMBABWE,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
51,"(37.45, -0.5)",474,KENYA,EMBU,Eastern and Southern Africa,-0.5,37.45,1492,lat-0.625_long37.375.txt,lat-0.375_long37.375.txt, , ,1088,22,53,0,5,1.549999952,2.392499924,24,55,22,26
52,"(32.786, -1.338)",919,TANZANIA,MARUKU,Eastern and Southern Africa,-1.338,32.786,1133,lat-1.375_long32.875.txt, , , ,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
53,"(37.73, -2.25)",487,KENYA,KIBOKO,Eastern and Southern Africa,-2.25,37.73,990,lat-2.375_long37.625.txt,lat-2.125_long37.625.txt, , ,1293,20,30,0,5,0.412999988,1.367500067,15,64,19,51
54,"(36.6745, -3.3658)",904,TANZANIA,AFSF-ARUSHA,Eastern and Southern Africa,-3.3658,36.6745,1415,lat-3.375_long36.625.txt, , , ,1080,33,44,9,4,1.962499976,2.607500076,24,73,24,32
55,"(36.7, -3.18)",905,TANZANIA,ARUSHA,Eastern and Southern Africa,-3.18,36.7,1995,lat-3.125_long36.625.txt, , , ,1034,24,30,8,5,0.647249997,2.532500029,32,62,27,44
56,"(36.67, -3.36)",907,TANZANIA,ARUSHA TAN,Eastern and Southern Africa,-3.36,36.67,1415,lat-3.375_long36.625.txt, , , ,1090,32,46,8,5,2.164999962,2.607500076,26,70,22,32
57,"(37.88, -3.23)",918,TANZANIA,LAMBO,Eastern and Southern Africa,-3.23,37.88,935,lat-3.125_long37.875.txt, , , ,1368,10,21,3,5,0.275000006,0.782249987,6,66,13,66
58,"(35.8, -3.25)",920,TANZANIA,MBULUMBULU,Eastern and Southern Africa,-3.25,35.8,1645,lat-3.375_long35.875.txt,lat-3.125_long35.875.txt, , ,1160,27,53,6,5,0.690249979,2.089999914,35,62,24,23
59,"(36.45, -3.3)",922,TANZANIA,MONDULI,Eastern and Southern Africa,-3.3,36.45,1504,lat-3.375_long36.375.txt, , , ,1045,27,44,5,5,0.269499987,1.720000029,32,68,23,34
60,"(36.67, -3.36)",925,TANZANIA,NGARAMTONI,Eastern and Southern Africa,-3.36,36.67,1415,lat-3.375_long36.625.txt, , , ,1090,32,46,8,5,2.164999962,2.607500076,26,70,22,32
61,"(36.67, -3.36)",926,TANZANIA,NGARAMTONI-ARUSHA,Eastern and Southern Africa,-3.36,36.67,1415,lat-3.375_long36.625.txt, , , ,1090,32,46,8,5,2.164999962,2.607500076,26,70,22,32
62,"(36.37, -3.22)",928,TANZANIA,SELIAN,Eastern and Southern Africa,-3.22,36.37,1756,lat-3.125_long36.375.txt, , , ,1058,28,37,10,4,0.075899996,1.470000029,23,69,24,40
63,"(33.024, -2.719)",933,TANZANIA,UKIRIGURU,Eastern and Southern Africa,-2.719,33.024,1220,lat-2.625_long33.125.txt, , , ,1375,9,22,1,5,0.831750035,0.726000011,10,60,15,63
64,"(37.25, -3.317)",935,TANZANIA,WERUWERU,Eastern and Southern Africa,-3.317,37.25,984,lat-3.375_long37.125.txt,lat-3.375_long37.375.txt, , ,1185,23,44,8,4,0.526499987,1.974999905,18,65,22,35
65,"(39.75, -3.93)",501,KENYA,MTWAPA,Eastern and Southern Africa,-3.93,39.75,23,lat-3.875_long39.625.txt,lat-3.875_long39.875.txt, , ,1448,13,18,0,3,0.275000006,1.11500001,7,63,14,68
66,"(12.2, -5.6)",6,ANGOLA,CABINDA,Eastern and Southern Africa,-5.6,12.2,22,lat-5.625_long12.125.txt, , , ,1400,10,24,6,5,0.80825001,0.963249981,10,62,13,64
67,"(12.2, -5.57)",18,ANGOLA,ST. VINCENT,Eastern and Southern Africa,-5.57,12.2,57,lat-5.625_long12.125.txt, , , ,1378,11,26,8,5,0.677250028,1.112499952,13,62,13,62
68,"(38.92, -5.07)",921,TANZANIA,MLINGANO,Eastern and Southern Africa,-5.07,38.92,100,lat-5.125_long38.875.txt, , , ,1413,11,29,3,5,0.01225,1.174999952,14,60,15,56
69,"(32.8, -5.02)",929,TANZANIA,TABORA,Eastern and Southern Africa,-5.02,32.8,1192,lat-5.125_long32.875.txt, , , ,1453,9,25,0,5,0.207499996,0.801499963,7,58,15,60
70,"(32.73, -5.07)",931,TANZANIA,TUMBI,Eastern and Southern Africa,-5.07,32.73,1162,lat-5.125_long32.625.txt, , , ,1420,9,21,0,5,0.306500018,0.585500002,8,58,14,65
71,"(32.73, -5.07)",932,TANZANIA,TUMBI-TABORA,Eastern and Southern Africa,-5.07,32.73,1162,lat-5.125_long32.625.txt, , , ,1420,9,21,0,5,0.306500018,0.585500002,8,58,14,65
72,"(14.9, -5.45)",1020,ZAIRE,MVUAZI,Eastern and Southern Africa,-5.45,14.9,430,lat-5.375_long14.875.txt, , , ,1468,11,28,8,5,1.972500086,1.402500033,20,50,28,44
73,"(37.03, -6.77)",912,TANZANIA,ILONGA,Eastern and Southern Africa,-6.77,37.03,554,lat-6.875_long37.125.txt, , , ,1285,15,39,5,5,0.189771742,1.547500014,24,62,16,45
74,"(37.65, -6.83)",923,TANZANIA,MOROGORO,Eastern and Southern Africa,-6.83,37.65,517,lat-6.875_long37.625.txt, , , ,1400,8,30,0,5,0.344749987,0.793249965,9,63,14,56
75,"(37.7, -7.43)",908,TANZANIA,CHOLIMA,Eastern and Southern Africa,-7.43,37.7,151,lat-7.375_long37.625.txt, , , ,1335,17,45,0,4,0.008025,1.315000057,17,70,21,35
76,"(37.7, -7.43)",909,TANZANIA,CHOLLIMA,Eastern and Southern Africa,-7.43,37.7,151,lat-7.375_long37.625.txt, , , ,1335,17,45,0,4,0.008025,1.315000057,17,70,21,35
77,"(37.7, -7.43)",911,TANZANIA,DAKAWA,Eastern and Southern Africa,-7.43,37.7,151,lat-7.375_long37.625.txt, , , ,1335,17,45,0,4,0.008025,1.315000057,17,70,21,35
78,"(36.683, -8.133)",914,TANZANIA,KATRIN,Eastern and Southern Africa,-8.133,36.683,262,lat-8.125_long36.625.txt, , , ,1373,15,32,0,2,0.838,0.948499978,9,62,18,50
79,"(36.68, -8.13)",915,TANZANIA,KATRIN1,Eastern and Southern Africa,-8.13,36.68,262,lat-8.125_long36.625.txt, , , ,1373,15,32,0,2,0.838,0.948499978,9,62,18,50
80,"(36.68, -8.13)",916,TANZANIA,KATRIN2,Eastern and Southern Africa,-8.13,36.68,262,lat-8.125_long36.625.txt, , , ,1373,15,32,0,2,0.838,0.948499978,9,62,18,50
81,"(36.68, -8.13)",917,TANZANIA,KATRIN-IFAKARA,Eastern and Southern Africa,-8.13,36.68,262,lat-8.125_long36.625.txt, , , ,1373,15,32,0,2,0.838,0.948499978,9,62,18,50
82,"(15.75, -9.42)",7,ANGOLA,CACUSO,Eastern and Southern Africa,-9.42,15.75,1067,lat-9.375_long15.625.txt,lat-9.375_long15.875.txt, , ,1415,9,23,2,5,1.164999962,0.912,16,59,18,59
83,"(14.7, -8.9)",11,ANGOLA,KILOMBA,Eastern and Southern Africa,-8.9,14.7,514,lat-8.875_long14.625.txt, , , ,1300,15,35,3,5,2.402500153,1.985000014,25,57,15,51
84,"(14.73, -8.91)",12,ANGOLA,KILOMBO,Eastern and Southern Africa,-8.91,14.73,766,lat-8.875_long14.625.txt, , , ,1328,14,38,4,5,2.329999924,1.725000024,30,57,17,46
85,"(14.7, -8.9)",13,ANGOLA,KILOMBO EXPERIMENTAL STATION,Eastern and Southern Africa,-8.9,14.7,514,lat-8.875_long14.625.txt, , , ,1300,15,35,3,5,2.402500153,1.985000014,25,57,15,51
86,"(13.7, -9.1)",15,ANGOLA,MAZOZO,Eastern and Southern Africa,-9.1,13.7,41,lat-9.125_long13.625.txt, , , ,1353,23,30,3,4,0.601499975,0.787999988,10,67,18,52
87,"(13.7, -9.1)",16,ANGOLA,MAZOZO EXPERIMENTAL STATION,Eastern and Southern Africa,-9.1,13.7,41,lat-9.125_long13.625.txt, , , ,1353,23,30,3,4,0.601499975,0.787999988,10,67,18,52
88,"(33.633, -8.867)",913,TANZANIA,INYALA,Eastern and Southern Africa,-8.867,33.633,1582,lat-8.875_long33.625.txt, , , ,1088,25,30,0,5,0.339000016,0.99425,15,59,26,44
89,"(16.333, -9.533)",14,ANGOLA,MALANGE,Eastern and Southern Africa,-9.533,16.333,1149,lat-9.625_long16.375.txt, , , ,1310,9,24,3,5,0.457500011,0.707749963,13,60,16,60
