FID,Shape,LocationID,Country,Location,Region,Latitude,Longitude,ElevM,File1,File2,File3,File4,BLD,CEC,CLYPPT,CRFVOL,DRAINFAO,EACKCL,NTO,ORCDRC,PHIHOX,SLTPPT,SNDPPT
0,"(35.308, 0.569)",2501,Kenya,Eldoret,Eastern and Southern Africa,0.569,35.308,2150,lat0.625_long35.375.txt,,,,1143,24,47,3,4,0.71724999,1.875,20,61,24,30
1,"(37.452, -0.494)",2502,Kenya,Embu,Eastern and Southern Africa,-0.494,37.452,1500,lat-0.375_long37.375.txt,,,,1088,22,53,0,5,1.549999952,2.392499924,24,55,22,26
2,"(37.719, -0.465)",2503,Kenya,Kandara,Eastern and Southern Africa,-0.465,37.719,1125,lat-0.375_long37.625.txt,,,,1190,14,45,7,5,1.277500033,1.087499976,13,59,12,43
3,"(34.992, 1.0)",2504,Kenya,Kitale,Eastern and Southern Africa,1,34.992,1863,lat0.875_long34.875.txt,lat1.125_long34.875.txt,,,1073,31,47,0,5,0.773750007,3.102499962,24,57,28,26
4,"(37.252, -1.539)",2505,Kenya,Machakos,Eastern and Southern Africa,-1.539,37.252,1585,lat-1.625_long37.375.txt,,,,1433,11,30,1,5,2.214999914,0.916999996,13,62,17,53
5,"(34.513, -0.993)",2506,Kenya,Migori,Eastern and Southern Africa,-0.993,34.513,1450,lat-0.875_long34.625.txt,,,,1223,17,43,3,5,5.150000095,2.647500038,24,56,26,31
6,"(35.946, -0.344)",2507,Kenya,Njoro,Eastern and Southern Africa,-0.344,35.946,2170,lat-0.375_long35.875.txt,,,,1020,30,30,11,4,0.0078,2.484999895,25,65,36,34
7,"(33.74, -14.17)",2508,Malawi,Bunda,Eastern and Southern Africa,-14.17,33.74,1150,lat-14.125_long33.625.txt,,,,1463,7,18,1,5,0.046525002,0.647249997,12,60,13,69
8,"(34.267, -13.683)",2509,Malawi,Central-On-farm,Eastern and Southern Africa,-13.683,34.267,615,lat-13.625_long34.375.txt,,,,1360,13,26,1,5,0.516250014,1.220000029,17,61,17,57
9,"(34.393, -14.054)",2510,Malawi,Salima,Eastern and Southern Africa,-14.054,34.393,1240,lat-14.125_long34.375.txt,,,,1298,9,25,5,6,0.516499996,2.107500076,24,58,13,62
10,"(30.067, -2.239)",2511,Rwanda,Bugesera,Eastern and Southern Africa,-2.239,30.067,1369,lat-2.125_long30.125.txt,,,,1275,14,35,3,5,1.172000051,1.429999948,15,59,17,49
11,"(29.877, -1.491)",2512,Rwanda,Burera,Eastern and Southern Africa,-1.491,29.877,2096,lat-1.375_long29.875.txt,,,,1170,23,36,2,5,3.977499962,3.372499943,57,53,24,41
12,"(29.741, -2.539)",2513,Rwanda,Huye,Eastern and Southern Africa,-2.539,29.741,1630,lat-2.625_long29.625.txt,,,,1363,13,37,8,5,1.977499962,1.652500033,23,49,20,44
13,"(29.597, -1.513)",2514,Rwanda,Musanze,Eastern and Southern Africa,-1.513,29.597,1930,lat-1.625_long29.625.txt,,,,939,34,32,8,5,1.547500014,5.772500038,55,57,38,30
14,"(30.417, -2.227)",2515,Rwanda,Ngoma,Eastern and Southern Africa,-2.227,30.417,1458,lat-2.125_long30.375.txt,,,,1248,18,39,3,5,2.704999924,3,27,53,19,43
15,"(30.284, -1.516)",2516,Rwanda,Nyagatare,Eastern and Southern Africa,-1.516,30.284,1500,lat-1.625_long30.375.txt,,,,1348,16,36,8,5,1.907500029,1.832499981,20,52,18,46
16,"(35.524, -3.766)",2517,Tanzania,Daredo,Eastern and Southern Africa,-3.766,35.524,1635,lat-3.875_long35.625.txt,,,,1260,14,33,1,5,0.165250003,1.620000005,18,64,17,51
17,"(37.037, -6.783)",2518,Tanzania,Ilonga,Eastern and Southern Africa,-6.783,37.037,490,lat-6.875_long37.125.txt,,,,1248,15,36,2,5,0.239749998,1.179999948,21,63,16,49
18,"(38.516, -5.418)",2519,Tanzania,Kwedizinga,Eastern and Southern Africa,-5.418,38.516,350,lat-5.375_long38.625.txt,,,,1245,14,37,1,5,0.856249988,1.289999962,12,63,19,45
19,"(38.852, -5.138)",2520,Tanzania,Mavamizi,Eastern and Southern Africa,-5.138,38.852,190,lat-5.125_long38.875.txt,,,,1300,10,30,1,5,0.150275007,1.046000004,13,62,15,55
20,"(38.852, -5.138)",2521,Tanzania,Mlingano,Eastern and Southern Africa,-5.138,38.852,80,lat-5.125_long38.875.txt,,,,1300,10,30,1,5,0.150275007,1.046000004,13,62,15,55
21,"(38.852, -5.138)",2522,Tanzania,Muheza,Eastern and Southern Africa,-5.138,38.852,190,lat-5.125_long38.875.txt,,,,1300,10,30,1,5,0.150275007,1.046000004,13,62,15,55
22,"(36.632, -3.36)",2523,Tanzania,Selian,Eastern and Southern Africa,-3.36,36.632,1410,lat-3.375_long36.625.txt,,,,1155,24,40,6,4,0.354474992,1.495000005,19,75,17,42
23,"(33.517, -8.918)",2524,Tanzania,Uyole,Eastern and Southern Africa,-8.918,33.517,1783,lat-8.875_long33.625.txt,,,,1103,27,34,1,5,0.721499979,1.277500033,22,63,28,38
24,"(27.063, -16.829)",2525,Zambia,Choma Mochipapa,Eastern and Southern Africa,-16.829,27.063,1290,lat-16.875_long27.125.txt,,,,1535,6,24,0,4,0.362500012,0.79124999,10,59,17,59
25,"(31.226, -10.171)",2526,Zambia,Kasama,Eastern and Southern Africa,-10.171,31.226,1230,lat-10.125_long31.125.txt,,,,1400,7,21,3,5,0.824750006,0.775749981,10,57,17,62
26,"(32.555, -13.64)",2527,Zambia,Masekera,Eastern and Southern Africa,-13.64,32.555,1224,lat-13.625_long32.625.txt,,,,1330,8,20,1,5,0.239749998,0.81825,12,58,11,70
27,"(28.251, -15.548)",2528,Zambia,Mt. Makulu,Eastern and Southern Africa,-15.548,28.251,1220,lat-15.625_long28.375.txt,,,,1390,11,25,1,3,0.906000018,0.917500019,13,57,26,49
