FID,FID_1,ObjectID,locationid,country,location,region,latitude,longitude,elevm,InStudy,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,OBJECTID_1,Id,gridcode,Shape_Leng,Shape_Area
0,129,130,279,ERITREA,SHAMBIKO,Eastern and Southern Africa,14.92,37.83,906,0,0,0,0,0,0,0,0,0,0,442,442,8,148.3137158,238.3719681
1,17,18,295,ETHIOPIA,MELKASA,Eastern and Southern Africa,8.4,39.33,1545,master only (1),0,0,0,0,1,0,0,0,0,484,484,12,60.42002804,15.03208375
2,128,129,278,ERITREA,HALHALE,Eastern and Southern Africa,15,39,1837,0,0,0,0,0,0,0,0,0,0,484,484,12,60.42002804,15.03208375
3,16,17,286,ETHIOPIA,BAKO,Eastern and Southern Africa,9.1,37.15,1680,master only (1),0,1,1,0,1,1,1,0,0,650,650,13,61.14255837,21.83142468
4,18,19,300,ETHIOPIA,PAWE,Eastern and Southern Africa,11.23,38,1499,master only (1),0,0,1,0,0,0,0,0,0,650,650,13,61.14255837,21.83142468
5,26,27,507,KENYA,SIGOR,Eastern and Southern Africa,1.483,35.467,976,master only (1),0,1,0,0,0,0,0,0,0,709,709,13,11.93825141,1.845763691
6,87,88,953,UGANDA,KAMAYANMIGGO,Eastern and Southern Africa,-0.25,31.25,1322,master only (1),0,1,0,0,0,0,0,0,0,799,799,14,13.89642045,2.083288801
7,88,89,954,UGANDA,KAMENYAMIGGO,Eastern and Southern Africa,-0.25,31.25,1322,master only (1),0,0,1,0,0,0,0,0,0,799,799,14,13.89642045,2.083288801
8,20,21,469,KENYA,BUNGOMA,Eastern and Southern Africa,0.567,34.567,1414,master only (1),0,0,1,0,0,1,1,1,1,805,805,14,10.82898407,3.427029888
9,22,23,480,KENYA,KAKAMEGA,Eastern and Southern Africa,0.27,34.74,1526,master only (1),0,0,1,0,0,0,0,0,0,805,805,14,10.82898407,3.427029888
10,24,25,492,KENYA,KITALE,Eastern and Southern Africa,1.01,35,1859,master only (1),0,1,1,0,0,1,1,1,0,805,805,14,10.82898407,3.427029888
11,77,78,918,TANZANIA,LAMBO,Eastern and Southern Africa,-3.23,37.88,935,master only (1),0,1,0,0,0,0,0,0,0,919,919,9,7.982933565,1.01461385
12,86,87,935,TANZANIA,WERUWERU,Eastern and Southern Africa,-3.317,37.25,984,master only (1),0,0,1,0,0,1,0,1,0,919,919,9,7.982933565,1.01461385
13,21,22,474,KENYA,EMBU,Eastern and Southern Africa,-0.5,37.45,1492,master only (1),0,1,1,0,0,0,0,0,0,922,922,13,42.65201673,10.97462038
14,67,68,904,TANZANIA,AFSF-ARUSHA,Eastern and Southern Africa,-3.3658,36.6745,1415,master only (1),0,0,0,0,0,0,0,1,0,922,922,13,42.65201673,10.97462038
15,68,69,905,TANZANIA,ARUSHA,Eastern and Southern Africa,-3.18,36.7,1995,master only (1),0,0,1,0,1,1,1,1,0,922,922,13,42.65201673,10.97462038
16,69,70,907,TANZANIA,ARUSHA TAN,Eastern and Southern Africa,-3.36,36.67,1415,master only (1),0,0,1,0,0,0,0,0,0,922,922,13,42.65201673,10.97462038
17,79,80,920,TANZANIA,MBULUMBULU,Eastern and Southern Africa,-3.25,35.8,1645,master only (1),0,0,1,0,1,1,0,0,0,922,922,13,42.65201673,10.97462038
