cell_1585,cell_1347,cell_2919,cedll_5362,cell_8475,cell_9527,cell_10040,cell_12982,cell_13584,cell_15860
-0.7051228,-0.0242519,5.635523,0.222652,1.454306,2.716914,-4.247701,-1.843444,0.6754131,2.819807
0.1801695,-0.0242519,5.635523,0.5300857,2.501809,2.829958,-3.903008,-1.533346,0.9903748,3.803298
0.3489649,0.0331192,5.635523,0.6631775,2.501809,2.911556,-3.811415,-1.533346,1.145784,3.883435
0.3574576,0.0410137,5.635523,0.6631775,2.501809,2.991376,-3.811415,-1.530592,1.145784,3.883435
0.3574576,0.0573063,5.868378,0.8345079,2.624068,3.000318,-3.802643,-1.273991,1.145784,3.883435
0.3982961,0.2992306,5.954157,0.8645585,2.699282,3.011629,-3.648638,-1.057054,1.153994,4.344845
0.4093902,0.3518677,5.954157,0.8672261,2.902166,3.011629,-3.477052,-1.026266,1.153994,4.344845
0.5322709,0.3518677,6.066404,0.8672261,2.902166,3.013883,-3.37826,-1.018883,1.249211,4.588209
0.5322709,0.3784828,6.066404,1.128612,2.925414,3.013883,-3.37826,-1.018883,1.285252,4.642959
0.6484728,0.4542351,6.066404,1.151225,2.955427,3.074787,-3.03623,-0.8649054,1.285252,4.685466
0.6484728,0.4542351,6.066404,1.205719,2.964573,3.113186,-2.951566,-0.8608541,1.285252,4.748034
0.6484728,0.4684982,6.075817,1.205719,2.964573,3.113186,-2.951566,-0.5764842,1.299172,4.748034
0.7006131,0.5189838,6.075817,1.250549,3.000366,3.113186,-2.903373,-0.5764842,1.327416,4.748034
0.7214127,0.5189838,6.20245,1.280735,3.062491,3.113186,-2.848361,-0.4763849,1.327416,4.808761
0.7523012,0.5189838,6.20245,1.280735,3.129192,3.167617,-2.848361,-0.4428329,1.347057,4.808761
0.8932261,0.5189838,6.222725,1.340544,3.129192,3.167617,-2.841621,-0.4402859,1.362269,4.808761
0.935792,0.5603247,6.222725,1.340625,3.129192,3.167617,-2.76293,-0.4402859,1.460982,4.808761
0.935792,0.5810184,6.222725,1.340625,3.129192,3.180961,-2.76293,-0.4402859,1.614397,4.924463
0.9438488,0.6048603,6.231056,1.346549,3.148367,3.195389,-2.762883,-0.4336932,1.65366,4.924463
0.9716759,0.6048603,6.231056,1.353386,3.148367,3.237432,-2.762883,-0.4297864,1.676382,4.930996
1.024988,0.6718636,6.273273,1.377697,3.148367,3.253531,-2.753532,-0.4297864,1.676382,4.930996
1.024988,0.7866516,6.288956,1.377697,3.161197,3.378834,-2.539405,-0.3543861,1.773322,5.032967
1.078008,0.7866516,6.343437,1.428144,3.208713,3.410668,-2.438847,-0.3322439,1.778231,5.032967
1.148239,0.7866516,6.344114,1.468752,3.208713,3.413825,-2.438847,-0.290935,1.778231,5.057785
1.203989,0.7955627,6.344114,1.4745,3.270625,3.429467,-2.437583,-0.290935,1.835901,5.057785
1.204682,0.8706284,6.344114,1.523828,3.270625,3.456577,-2.339552,-0.290935,1.846248,5.071164
1.204682,0.8709583,6.355375,1.523828,3.288787,3.456577,-2.207071,-0.290935,1.925555,5.120174
1.204682,0.8843002,6.358994,1.556426,3.288787,3.544295,-2.183982,-0.2250714,1.946902,5.148108
1.20939,0.8843002,6.403086,1.60807,3.288787,3.566867,-2.157992,-0.2250714,1.946902,5.148108
1.257928,0.8843002,6.403086,1.621038,3.29263,3.593724,-2.140913,-0.1988676,1.946902,5.148108
1.32404,0.8843002,6.408537,1.621038,3.29263,3.595317,-2.126596,-0.1858782,2.006149,5.156888
1.335515,0.9082661,6.408537,1.621038,3.388334,3.599505,-2.123535,-0.1530676,2.016562,5.156888
1.335515,0.9082661,6.463064,1.651645,3.42929,3.599505,-2.072736,-0.1530676,2.024979,5.161854
1.376508,0.9118214,6.4692,1.665749,3.464535,3.608048,-2.072736,-0.1530676,2.024979,5.161854
1.40356,0.9150829,6.487436,1.665749,3.622167,3.631049,-2.072736,-0.1176596,2.038231,5.28402
1.47371,0.9206715,6.527416,1.665749,3.69507,3.660666,-2.072736,-0.0729108,2.038231,5.302104
1.536126,0.9206715,6.564499,1.721059,3.697927,3.69139,-2.028205,-0.0724423,2.05495,5.351608
1.53713,0.9959831,6.592991,1.721059,3.701062,3.69139,-2.019019,0.0480561,2.05495,5.351608
1.53713,1.057132,6.599102,1.721059,3.715427,3.69139,-1.977329,0.0535059,2.061123,5.440994
1.53713,1.143715,6.624809,1.723669,3.715427,3.70738,-1.887545,0.0535059,2.131554,5.440994
1.541765,1.14871,6.624809,1.755357,3.773989,3.70738,-1.862379,0.0974331,2.148566,5.440994
1.546957,1.148911,6.644707,1.772778,3.773989,3.742575,-1.848353,0.1042056,2.169369,5.474221
