cellid,robust_vcr_10,robust_vcr_20,robust_vcr_30,robust_vcr_40,robust_vcr_50,robust_vcr_60,robust_vcr_70,robust_vcr_80,robust_vcr_90,robust_profitable_10,robust_profitable_20,robust_profitable_30,robust_profitable_40,robust_profitable_50,robust_profitable_60,robust_profitable_70,robust_profitable_80,robust_profitable_90,naive_vcr_10,naive_vcr_20,naive_vcr_30,naive_vcr_40,naive_vcr_50,naive_vcr_60,naive_vcr_70,naive_vcr_80,naive_vcr_90,naive_profitable_10,naive_profitable_20,naive_profitable_30,naive_profitable_40,naive_profitable_50,naive_profitable_60,naive_profitable_70,naive_profitable_80,naive_profitable_90,class_nono_10,class_yesyes_10,class_type1_10,class_type2_10,class_nono_20,class_yesyes_20,class_type1_20,class_type2_20,class_nono_30,class_yesyes_30,class_type1_30,class_type2_30,class_nono_40,class_yesyes_40,class_type1_40,class_type2_40,class_nono_50,class_yesyes_50,class_type1_50,class_type2_50,class_nono_60,class_yesyes_60,class_type1_60,class_type2_60,class_nono_70,class_yesyes_70,class_type1_70,class_type2_70,class_nono_80,class_yesyes_80,class_type1_80,class_type2_80,class_nono_90,class_yesyes_90,class_type1_90,class_type2_90,lat,lon,f_to_m_prratio_robust,prneeded_robust,prneeded_val_robust,f_to_m_prratio_naive,prneeded_naive,prneeded_val_naive
0,1.143016,1.3911,1.79971,1.994711,2.21586,2.557541,2.862779,3.242624,3.790945,1,1,1,1,1,1,1,1,0,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,16.375,-16.375,3.682483,Profitable if F to M below 5,2,-0.6717777,Profitable at no price,1
1,0.696945,1.280204,1.571753,1.880575,2.107914,2.476918,2.839578,3.180871,3.60866,1,1,1,1,1,1,1,0,0,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,16.375,-16.125,3.216048,Profitable if F to M below 5,2,-0.6717777,Profitable at no price,1
2,-0.2232378,0.5387865,0.8334782,1.138298,1.454969,1.670139,2.015753,2.417536,3.338214,1,1,1,1,1,0,0,0,0,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,16.375,-15.875,1.668727,Profitable if F to M below 5,2,-0.6717777,Profitable at no price,1
3,1.47567,1.990841,2.427038,2.77575,3.103038,3.336283,3.605462,3.997463,5.014337,1,1,1,1,1,1,1,1,1,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,16.375,-15.625,4.966093,Profitable if F to M below 5,2,-0.6717777,Profitable at no price,1
4,1.522733,2.191515,2.522812,2.959517,3.354048,3.582944,3.919869,4.2615,4.678112,1,1,1,1,1,1,1,1,1,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,16.375,-15.375,5.162062,Profitable if F to M below 10,3,-0.6717777,Profitable at no price,1
11,0.9918284,1.629951,2.193646,2.450283,2.768356,3.074744,3.364961,3.791005,4.957686,1,1,1,1,1,1,1,1,0,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,16.375,-11.875,4.474682,Profitable if F to M below 5,2,4.888548,Profitable if F to M below 5,2
12,1.387034,2.074023,2.756027,3.03467,3.466196,3.714359,3.920327,4.195014,4.703986,1,1,1,1,1,1,1,1,1,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,16.375,-11.625,5.639254,Profitable if F to M below 10,3,4.888548,Profitable if F to M below 5,2
19,1.384976,1.675765,1.955332,2.300105,2.74002,3.012252,3.498046,3.817782,4.285511,1,1,1,1,1,1,1,1,1,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,16.125,-16.375,3.988072,Profitable if F to M below 5,2,-0.6717777,Profitable at no price,1
20,1.431831,1.887723,2.324212,2.559634,3.019233,3.42052,3.989369,4.585648,5.024375,1,1,1,1,1,1,1,1,1,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,16.125,-16.125,4.755695,Profitable if F to M below 5,2,-0.6717777,Profitable at no price,1
25,-0.2903656,0.2551719,0.7404859,1.111135,1.677164,1.976817,2.365992,2.740184,3.55288,1,1,1,1,1,0,0,0,0,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,16.125,-13.875,1.436412,Profitable if F to M below 5,2,-0.6717777,Profitable at no price,1
26,0.0309859,0.610343,1.024454,1.308273,1.684995,1.996708,2.410542,2.901706,4.142599,1,1,1,1,1,1,0,0,0,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,16.125,-13.625,2.096191,Profitable if F to M below 5,2,4.888548,Profitable if F to M below 5,2
33,1.762758,2.529791,2.84405,3.246506,3.460416,3.728371,3.916097,4.395126,4.957512,1,1,1,1,1,1,1,1,1,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,16.125,-11.875,5.819364,Profitable if F to M below 10,3,4.888548,Profitable if F to M below 5,2
34,2.37937,2.97023,3.379088,3.708009,4.07948,4.42497,4.739292,5.197879,5.689692,1,1,1,1,1,1,1,1,1,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,16.125,-11.625,6.914133,Profitable if F to M below 10,3,4.888548,Profitable if F to M below 5,2
47,3.145825,3.550032,3.83971,4.080115,4.399051,4.624862,4.966132,5.459994,6.472499,1,1,1,1,1,1,1,1,1,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,15.875,-16.375,7.828209,Profitable if F to M below 10,3,-0.6717777,Profitable at no price,1
48,3.528702,3.986241,4.20371,4.565115,4.939918,5.313531,5.637973,6.216146,6.728887,1,1,1,1,1,1,1,1,1,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,15.875,-16.125,8.577432,Profitable if F to M below 10,3,4.888548,Profitable if F to M below 5,2
72,2.801814,3.325059,3.506445,4.041531,4.362378,4.652856,4.896476,5.317412,5.876934,1,1,1,1,1,1,1,1,1,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,15.875,23.625,7.174726,Profitable if F to M below 10,3,-0.6717777,Profitable at no price,1
73,-0.7096708,0.0762841,0.856854,1.508654,2.056875,2.481272,3.212819,4.177697,5.14957,1,1,1,1,1,1,0,0,0,7.048802,7.048802,7.048802,7.048802,7.048802,7.048802,7.048802,7.048802,7.048802,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,15.875,38.125,1.726811,Profitable if F to M below 5,2,9.374907,Profitable if F to M below 10,3
74,0.3472065,0.9220435,1.540804,1.787272,2.255456,2.550306,3.153966,3.666251,4.962164,1,1,1,1,1,1,1,0,0,7.048802,7.048802,7.048802,7.048802,7.048802,7.048802,7.048802,7.048802,7.048802,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,15.875,38.375,3.127689,Profitable if F to M below 5,2,9.374907,Profitable if F to M below 10,3
75,-0.1598247,0.7139363,1.188241,1.65079,2.308883,3.06512,3.348756,4.072081,5.226122,1,1,1,1,1,1,0,0,0,7.048802,7.048802,7.048802,7.048802,7.048802,7.048802,7.048802,7.048802,7.048802,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,15.875,38.625,2.431121,Profitable if F to M below 5,2,9.374907,Profitable if F to M below 10,3
106,1.44813,2.053993,2.6517,3.06722,3.282495,3.615247,3.901702,4.408168,4.878546,1,1,1,1,1,1,1,1,1,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,15.625,7.125,5.425786,Profitable if F to M below 10,3,-0.6717777,Profitable at no price,1
107,3.163332,3.663117,4.182134,4.698613,5.247366,5.391762,5.853979,6.085908,6.649508,1,1,1,1,1,1,1,1,1,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,15.625,23.875,8.557288,Profitable if F to M below 10,3,-0.6717777,Profitable at no price,1
108,4.444752,5.077856,5.527858,6.186444,6.427299,6.931977,7.71419,8.10358,8.781391,1,1,1,1,1,1,1,1,1,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,15.625,37.625,11.30651,Profitable even if F to M above 10,4,-0.6717777,Profitable at no price,1
109,3.388351,3.843186,4.089414,4.624041,4.846657,5.212266,5.803655,6.436334,7.184306,1,1,1,1,1,1,1,1,1,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,15.625,37.875,8.346928,Profitable if F to M below 10,3,-0.6717777,Profitable at no price,1
110,3.235474,3.683176,3.987834,4.547796,5.222167,5.598523,5.839938,6.383727,7.412849,1,1,1,1,1,1,1,1,1,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,15.625,38.125,8.151491,Profitable if F to M below 10,3,-0.6717777,Profitable at no price,1
111,0.809345,1.297746,1.522242,2.075365,2.399181,2.890981,3.416572,4.073754,5.419531,1,1,1,1,1,1,1,0,0,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,-0.505096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,15.625,38.375,3.114741,Profitable if F to M below 5,2,-0.6717777,Profitable at no price,1
112,0.6145875,1.274283,1.462843,2.212372,2.468478,2.875221,3.691051,4.538135,6.248433,1,1,1,1,1,1,1,0,0,13.28272,13.28272,13.28272,13.28272,13.28272,13.28272,13.28272,13.28272,13.28272,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,15.625,38.625,2.993202,Profitable if F to M below 5,2,17.66601,Profitable even if F to M above 10,4
113,-1.465249,-0.8817741,-0.2577417,0.1158799,0.6345802,1.023023,1.710188,2.337141,3.160465,1,1,1,0,0,0,0,0,0,13.28272,13.28272,13.28272,13.28272,13.28272,13.28272,13.28272,13.28272,13.28272,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,15.625,38.875,-0.5352736,Profitable at no price,1,17.66601,Profitable even if F to M above 10,4
114,2.267894,2.622916,2.992197,3.234396,3.577734,3.849169,4.233491,4.584585,4.943371,1,1,1,1,1,1,1,1,1,7.048802,7.048802,7.048802,7.048802,7.048802,7.048802,7.048802,7.048802,7.048802,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,15.375,-16.875,6.122496,Profitable if F to M below 10,3,9.374907,Profitable if F to M below 10,3
115,4.687969,5.252818,5.485031,5.746346,6.076368,6.344335,6.528114,6.870818,7.411684,1,1,1,1,1,1,1,1,1,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,15.375,-16.375,11.22322,Profitable even if F to M above 10,4,4.888548,Profitable if F to M below 5,2
116,1.030353,1.777034,2.313042,2.74988,3.163599,3.600644,3.983843,4.647772,6.220967,1,1,1,1,1,1,1,1,0,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,3.6756,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,15.375,-14.625,4.728564,Profitable if F to M below 5,2,4.888548,Profitable if F to M below 5,2
