cellid,y_pred_sim_dif_probT_cfrobust,irr_sim_probT_cfrobust,cr_sim_probT_cfrobust,crnrt_sim_probT_cfrobust,irr_sim_gtP_cfrobust,irrnrt_sim_gtP_cfrobust,y_pred_sim_dif_probT_naive,irr_sim_probT_naive,cr_sim_probT_naive,crnrt_sim_probT_naive,irr_sim_gtP_naive,irrnrt_sim_gtP_naive,lat,lon,class_nono_probT,classnrt_nono_probT,class_yesyes_probT,classnrt_yesyes_probT,class_type1_probT,classnrt_type1_probT,class_type2_probT,classnrt_type2_probT
"1",".4527858198","nan","2.487834215","nan","nan","nan","1.738792181","nan","6.209971905","9.553803444","nan","nan","16.375","-16.125","nan","nan","nan","nan","nan","nan","nan","nan"
"10",".3276147246","nan","1.800081015","nan","nan","nan","1.766548634","nan","6.309102058","9.706311226","nan","nan","16.375","-12.125","nan","nan","nan","nan","nan","nan","nan","nan"
"100",".4896437824",".6412338018","2.690350533","nan",".7889999747","nan","1.738792181","4.835421085","6.209971905","9.553803444","1","1","15.625","4.625","0","0","1","1","0","0","0","0"
"1000",".9374890327","nan","5.151038647","nan","nan","nan","1.766548634","nan","6.309102058","9.706311226","nan","nan","13.125","-9.125","nan","nan","nan","nan","nan","nan","nan","nan"
"10000","1.345074177","1.381304622","7.390517235","nan",".9570000172","nan",".9162558317",".626219511","3.272342205","5.034372807","0","1","-7.625","28.125","0","0","0","1","1","0","0","0"
"10001","1.517519593","1.661887407","8.338020325","nan",".9789999723","nan",".9162558317",".6134243011","3.272342205","5.034372807","0","1","-7.625","28.375","0","0","0","1","1","0","0","0"
"10002","1.651823997","1.793974161","9.075955391","nan",".9890000224","nan","1.408392668","1.388791203","5.029973984","7.73842144","1","1","-7.625","29.375","0","0","1","1","0","0","0","0"
"10003","1.621700525","1.711394668","8.910442352","nan",".9900000095","nan","1.408392668","1.357417107","5.029973984","7.73842144","1","1","-7.625","29.625","0","0","1","1","0","0","0","0"
"10004","1.635477066","1.696699619","8.98613739","nan",".9720000029","nan","1.408392668","1.324070692","5.029973984","7.73842144","1","1","-7.625","29.875","0","0","1","1","0","0","0","0"
"10005","1.525605321","1.465648174","8.382447243","nan",".9750000238","nan","1.408392668","1.270023227","5.029973984","7.73842144","1","1","-7.625","30.125","0","0","1","1","0","0","0","0"
"10006","1.604597092","1.40779686","8.816467285","nan",".9869999886","nan",".4379849434","-.3415118754","1.564231992","2.406510592","0","0","-7.625","31.125","0","0","0","0","1","1","0","0"
"10007","1.068742514",".5667958856","5.872211933","nan",".8000000119","nan","1.49477911","1.184745669","5.338496685","8.213071823","1","1","-7.625","31.875","0","0","1","1","0","0","0","0"
"10008",".861379683",".2038652748","4.732855797","nan",".6589999795","nan",".8908963203",".24835594","3.18177247","4.89503479","0","0","-7.625","35.125","1","1","0","0","0","0","0","0"
"10009","1.031085253",".4287385345","5.665304184","nan",".7630000114","nan",".8908963203",".2304791212","3.18177247","4.89503479","0","0","-7.625","35.375","0","0","0","0","1","1","0","0"
"1001","1.002461195","nan","5.50802803","nan","nan","nan","1.766548634","nan","6.309102058","9.706311226","nan","nan","13.125","-8.875","nan","nan","nan","nan","nan","nan","nan","nan"
"10010","1.350650787",".8977341652","7.421157837","nan",".8650000095","nan",".8908963203",".253583014","3.18177247","4.89503479","0","0","-7.625","35.625","0","0","0","0","1","1","0","0"
"10011","1.34941411",".9250797629","7.414362907","nan",".8840000033","nan",".4379849434","-.3747556806","1.564231992","2.406510592","0","0","-7.625","35.875","0","0","0","0","1","1","0","0"
"10012","1.187402964",".7046213746","6.524191856","nan",".8379999995","nan",".4379849434","-.3688106537","1.564231992","2.406510592","0","0","-7.625","36.125","0","0","0","0","1","1","0","0"
"10013","1.168827295",".8188823462","6.422127724","nan",".8270000219","nan","1.49477911","1.317254066","5.338496685","8.213071823","1","1","-7.625","36.875","0","0","1","1","0","0","0","0"
"10014","1.059362769",".6699945927","5.820674896","nan",".8159999847","nan","1.49477911","1.355180502","5.338496685","8.213071823","1","1","-7.625","37.125","0","0","1","1","0","0","0","0"
"10015",".813796401",".4221853614","4.471408844","nan",".7609999776","nan","1.49477911","1.615295768","5.338496685","8.213071823","1","1","-7.625","38.875","0","0","1","1","0","0","0","0"
"10016",".7703582644",".3679248691","4.232737541","nan",".7149999738","nan","1.49477911","1.645297408","5.338496685","8.213071823","1","1","-7.625","39.125","0","0","1","1","0","0","0","0"
"10017",".5927612782",".2803142965","3.256929874","nan",".6880000234","nan",".4780912399",".0297236666","1.707468748","2.626874924","0","0","-7.875","13.125","1","1","0","0","0","0","0","0"
"10018",".6213895679",".318111062","3.414228439","nan",".7080000043","nan",".4780912399",".0113578187","1.707468748","2.626874924","0","0","-7.875","13.375","0","0","0","0","1","1","0","0"
