cellid,y_pred_sim_dif_probT_naive,vcr_sim_probT_naive,cr_sim_probT_naive,vcr_sim_gtP_naive,y_pred_sim_dif_probT_robust,vcr_sim_probT_robust,cr_sim_probT_robust,vcr_sim_gtP_robust,lat,lon,class_nono_probT,class_yesyes_probT,class_type1_probT,class_type2_probT
"0","1.497837067","nan","11.52182388","nan",".2893161774","nan","2.225509167","nan","16.375","-16.375","0","0","0","0"
"1","1.497837067","nan","11.52182388","nan",".3294125795","nan","2.533942938","nan","16.375","-16.125","0","0","0","0"
"10","1.500258923","nan","11.54045296","nan",".2841466665","nan","2.18574357","nan","16.375","-12.125","0","0","0","0"
"1000","1.500258923","nan","11.54045296","nan",".7338821888","nan","5.645247459","nan","13.125","-9.125","0","0","0","0"
"10000",".7955236435","3.51406765","6.119412422","1",".959769249","4.240094662","7.382840157",".9929999709","-7.625","28.125","0","1","0","0"
"10001",".7955236435","3.486419439","6.119412422","1",".9435763359","4.138801575","7.2582798",".9643333554","-7.625","28.375","0","1","0","0"
"10002","-.0054683685","-.0230837744","-.0420643725","0","1.235652447","5.219918251","9.505018234",".9700000286","-7.625","29.375","0","0","1","0"
"10003","-.0054683685","-.0227805991","-.0420643725","0","1.072748542","4.472138405","8.251912117",".977666676","-7.625","29.625","0","0","1","0"
"10004","-.0054683685","-.0224583577","-.0420643725","0","1.105182052","4.531266212","8.501399994",".9973333478","-7.625","29.875","0","0","1","0"
"10005","-.0054683685","-.0219360813","-.0420643725","0","1.060000539","4.250155926","8.153850555",".9713333249","-7.625","30.125","0","0","1","0"
"10006","-.0054683685","-.0204616748","-.0420643725","0",".7632708549","2.858986616","5.871314049",".9319999814","-7.625","31.125","0","0","1","0"
"10007","2.048164606","7.450464725","15.75511265","1",".5010627508","1.819205642","3.854328871",".8176666498","-7.625","31.875","0","1","0","0"
"10008",".6790759563","2.368232012","5.223661423","1",".5657793283","1.970969081","4.352148533",".8259999752","-7.625","35.125","0","1","0","0"
"10009",".6790759563","2.334318399","5.223661423","1",".5418440104","1.861572266","4.168030739",".8100000024","-7.625","35.375","0","1","0","0"
"1001","1.500258923","nan","11.54045296","nan",".6962659359","nan","5.355891705","nan","13.125","-8.875","0","0","0","0"
"10010",".6790759563","2.378148317","5.223661423","1",".5177903175","1.815553904","3.983002424",".7850000262","-7.625","35.625","0","1","0","0"
"10011","-.0054683685","-.0194286667","-.0420643725","0",".5781310797","2.060386181","4.447162151",".8116666675","-7.625","35.875","0","0","1","0"
"10012","-.0054683685","-.0196134001","-.0420643725","0",".5123440027","1.84026885","3.94110775",".7893333435","-7.625","36.125","0","0","1","0"
"10013","2.048164606","7.902348042","15.75511265","1","1.192470908","4.603402138","9.17285347",".9919999838","-7.625","36.875","0","1","0","0"
"10014","2.048164606","8.031684875","15.75511265","1",".4942502975","1.934695482","3.801925182",".8416666389","-7.625","37.125","0","1","0","0"
"10015","2.048164606","8.918736458","15.75511265","1",".2956386805","1.286400318","2.274143696",".6976666451","-7.625","38.875","0","0","0","1"
"10016","2.048164606","9.021047592","15.75511265","1",".1238225698",".5450045466",".9524812698",".5920000076","-7.625","39.125","0","0","0","1"
"10017",".4780912399","2.562803745","3.677624941","1",".146520853",".7852471471","1.12708354",".6506666541","-7.875","13.125","0","0","0","1"
"10018",".4780912399","2.517094374","3.677624941","1",".2136023045","1.129252195","1.643094659",".675999999","-7.875","13.375","0","0","0","1"
"10019",".4780912399","2.437805891","3.677624941","1",".3012275696","1.528374195","2.317135334",".7390000224","-7.875","13.625","0","1","0","0"
"1002","1.500258923","nan","11.54045296","nan",".4116747379","nan","3.166728735","nan","13.125","-8.625","0","0","0","0"
"10020",".4780912399","2.44503212","3.677624941","1",".6482371092","3.318077564","4.986439228",".9686666727","-7.875","13.875","0","1","0","0"
"10021",".4780912399","2.404386997","3.677624941","1","1.105815887","5.560404778","8.506275177",".9980000257","-7.875","14.125","0","1","0","0"
"10022",".4780912399","2.414336205","3.677624941","1","1.194203973","6.028772354","9.186183929",".9956666827","-7.875","14.375","0","1","0","0"
"10023",".4780912399","2.425532103","3.677624941","1","1.134994864","5.752878189","8.730730057",".9953333139","-7.875","14.625","0","1","0","0"
"10024",".4780912399","2.258910656","3.677624941","1","1.376886487","6.502668858","10.59143448",".9986666441","-7.875","14.875","0","1","0","0"
"10025",".1147877574",".5458930731",".8829827309","0","1.503747702","7.151442051","11.56729031",".997666657","-7.875","15.125","0","0","1","0"
"10026",".5653105974","2.376186132","4.348543167","1",".796178937","3.344647884","6.124453545",".9250000119","-7.875","15.375","0","1","0","0"
"10027",".5653105974","2.603546143","4.348543167","1","1.361040473","6.262192726","10.46954155",".9806666374","-7.875","15.625","0","1","0","0"
"10028",".1147877574",".5332061052",".8829827309","0","1.478958011","6.881078243","11.37660027",".9959999919","-7.875","15.875","0","0","1","0"
"10029",".1147877574",".5130125284",".8829827309","0","1.127575755","5.036527634","8.673660278",".9909999967","-7.875","16.125","0","0","1","0"
"1003","1.500258923","nan","11.54045296","nan",".5003049374","nan","3.848499537","nan","13.125","-8.375","0","0","0","0"
"10030",".1147877574",".5181033015",".8829827309","0","1.113515973","5.019608021","8.565507889",".9886666536","-7.875","16.375","0","0","1","0"
"10031",".4780912399","2.265742302","3.677624941","1","1.016501784","4.822331429","7.819244385",".9796666503","-7.875","16.625","0","1","0","0"
"10032",".4780912399","2.286653757","3.677624941","1",".8635133505","4.127743721","6.642410278",".9673333168","-7.875","16.875","0","1","0","0"
"10033",".4780912399","2.307275057","3.677624941","1",".8480672836","4.086340904","6.523594379",".9616666436","-7.875","17.125","0","1","0","0"
"10034",".4780912399","2.327024937","3.677624941","1",".8754943609","4.256486893","6.734572411",".9683333039","-7.875","17.375","0","1","0","0"
"10035",".7955236435","4.022688389","6.119412422","1","1.19267571","6.026344299","9.17442894",".9900000095","-7.875","18.625","0","1","0","0"
"10036",".7955236435","4.199444771","6.119412422","1","1.111791849","5.871589661","8.55224514",".9750000238","-7.875","18.875","0","1","0","0"
"10037",".7955236435","4.214210987","6.119412422","1","1.033779263","5.47026968","7.952148438",".972333312","-7.875","19.125","0","1","0","0"
"10038",".1147877574",".6097696424",".8829827309","0","1.179968357","6.266354561","9.07667923",".9863333106","-7.875","19.375","0","0","1","0"
"10039",".1147877574",".6111982465",".8829827309","0","1.14659059","6.11349678","8.819927216",".9856666923","-7.875","19.625","0","0","1","0"
"1004","1.500258923","nan","11.54045296","nan",".5857403278","nan","4.505694866","nan","13.125","-8.125","0","0","0","0"
"10040",".1147877574",".6123712659",".8829827309","0","1.088722467","5.800848007","8.374788284",".9720000029","-7.875","19.875","0","0","1","0"
"10041",".1147877574",".6132915616",".8829827309","0","1.027029991","5.485949516","7.900230408",".9756666422","-7.875","20.125","0","0","1","0"
"10042",".1147877574",".6139623523",".8829827309","0","1.003544211","5.369056225","7.719571114",".9563333392","-7.875","20.375","0","0","1","0"
