sitecode,iter,irr_sim,cumul_irr_sim,latgrid,longrid,lat,lon
15,194,-2.26586,.001,"-9.125","13.625",-9.125,13.625
15,548,-2.251545,.002,"-9.125","13.625",-9.125,13.625
15,934,-2.182407,.003,"-9.125","13.625",-9.125,13.625
15,786,-2.062089,.004,"-9.125","13.625",-9.125,13.625
15,882,-1.819936,.005,"-9.125","13.625",-9.125,13.625
15,666,-1.806264,.006,"-9.125","13.625",-9.125,13.625
15,229,-1.785271,.007,"-9.125","13.625",-9.125,13.625
15,801,-1.736106,.008,"-9.125","13.625",-9.125,13.625
15,948,-1.644746,.009,"-9.125","13.625",-9.125,13.625
15,526,-1.567109,.01,"-9.125","13.625",-9.125,13.625
15,367,-1.543569,.011,"-9.125","13.625",-9.125,13.625
15,411,-1.459185,.012,"-9.125","13.625",-9.125,13.625
15,652,-1.374749,.013,"-9.125","13.625",-9.125,13.625
15,240,-1.273302,.014,"-9.125","13.625",-9.125,13.625
15,967,-1.270573,.015,"-9.125","13.625",-9.125,13.625
15,304,-1.231368,.016,"-9.125","13.625",-9.125,13.625
15,994,-1.227513,.017,"-9.125","13.625",-9.125,13.625
15,334,-1.178425,.018,"-9.125","13.625",-9.125,13.625
15,303,-1.178028,.019,"-9.125","13.625",-9.125,13.625
15,642,-1.149745,.02,"-9.125","13.625",-9.125,13.625
15,444,-1.07974,.021,"-9.125","13.625",-9.125,13.625
15,415,-1.077375,.022,"-9.125","13.625",-9.125,13.625
15,93,-1.070788,.023,"-9.125","13.625",-9.125,13.625
15,213,-1.005301,.024,"-9.125","13.625",-9.125,13.625
15,388,-.9929259,.025,"-9.125","13.625",-9.125,13.625
15,764,-.9865955,.026,"-9.125","13.625",-9.125,13.625
15,476,-.9840229,.027,"-9.125","13.625",-9.125,13.625
15,520,-.9820049,.028,"-9.125","13.625",-9.125,13.625
15,543,-.96783,.029,"-9.125","13.625",-9.125,13.625
15,904,-.9042621,.03,"-9.125","13.625",-9.125,13.625
15,627,-.891891,.031,"-9.125","13.625",-9.125,13.625
15,449,-.890199,.032,"-9.125","13.625",-9.125,13.625
15,517,-.8687236,.033,"-9.125","13.625",-9.125,13.625
15,8,-.8642833,.034,"-9.125","13.625",-9.125,13.625
15,979,-.8539135,.035,"-9.125","13.625",-9.125,13.625
15,841,-.8520654,.036,"-9.125","13.625",-9.125,13.625
15,549,-.8481618,.037,"-9.125","13.625",-9.125,13.625
15,231,-.8330092,.038,"-9.125","13.625",-9.125,13.625
15,148,-.8187359,.039,"-9.125","13.625",-9.125,13.625
15,749,-.8164426,.04,"-9.125","13.625",-9.125,13.625
15,941,-.8064988,.041,"-9.125","13.625",-9.125,13.625
15,822,-.8050245,.042,"-9.125","13.625",-9.125,13.625
15,849,-.7788225,.043,"-9.125","13.625",-9.125,13.625
15,774,-.7684824,.044,"-9.125","13.625",-9.125,13.625
15,700,-.7533358,.045,"-9.125","13.625",-9.125,13.625
15,562,-.7516495,.046,"-9.125","13.625",-9.125,13.625
15,823,-.7108955,.047,"-9.125","13.625",-9.125,13.625
15,279,-.6968555,.048,"-9.125","13.625",-9.125,13.625
15,836,-.6741158,.049,"-9.125","13.625",-9.125,13.625
15,243,-.6570896,.05,"-9.125","13.625",-9.125,13.625
15,775,-.6516232,.051,"-9.125","13.625",-9.125,13.625
15,901,-.6355045,.052,"-9.125","13.625",-9.125,13.625
15,793,-.6255407,.053,"-9.125","13.625",-9.125,13.625
15,273,-.6249946,.054,"-9.125","13.625",-9.125,13.625
15,83,-.6245024,.055,"-9.125","13.625",-9.125,13.625
15,673,-.5965663,.056,"-9.125","13.625",-9.125,13.625
15,329,-.5961813,.057,"-9.125","13.625",-9.125,13.625
15,744,-.5925689,.058,"-9.125","13.625",-9.125,13.625
15,668,-.5905936,.059,"-9.125","13.625",-9.125,13.625
15,797,-.5863931,.06,"-9.125","13.625",-9.125,13.625
15,518,-.5787352,.061,"-9.125","13.625",-9.125,13.625
15,665,-.5673126,.062,"-9.125","13.625",-9.125,13.625
15,682,-.5463776,.063,"-9.125","13.625",-9.125,13.625
15,648,-.5403994,.064,"-9.125","13.625",-9.125,13.625
15,338,-.5401723,.065,"-9.125","13.625",-9.125,13.625
15,349,-.5321194,.066,"-9.125","13.625",-9.125,13.625
15,748,-.5231407,.067,"-9.125","13.625",-9.125,13.625
15,97,-.5229864,.068,"-9.125","13.625",-9.125,13.625
15,588,-.5203738,.069,"-9.125","13.625",-9.125,13.625
15,662,-.5018159,.07,"-9.125","13.625",-9.125,13.625
15,987,-.4917775,.071,"-9.125","13.625",-9.125,13.625
15,46,-.4836286,.072,"-9.125","13.625",-9.125,13.625
15,511,-.4812584,.073,"-9.125","13.625",-9.125,13.625
15,896,-.4781052,.074,"-9.125","13.625",-9.125,13.625
15,919,-.4746707,.075,"-9.125","13.625",-9.125,13.625
15,393,-.4716846,.076,"-9.125","13.625",-9.125,13.625
15,306,-.4701214,.077,"-9.125","13.625",-9.125,13.625
15,999,-.4692544,.078,"-9.125","13.625",-9.125,13.625
15,416,-.4656263,.079,"-9.125","13.625",-9.125,13.625
15,996,-.4626726,.08,"-9.125","13.625",-9.125,13.625
15,685,-.4617446,.081,"-9.125","13.625",-9.125,13.625
15,403,-.4358442,.082,"-9.125","13.625",-9.125,13.625
15,227,-.430898,.083,"-9.125","13.625",-9.125,13.625
15,362,-.4293944,.084,"-9.125","13.625",-9.125,13.625
