FID,LAT,LON
0,16.375,-16.375
1,16.375,-16.125
2,16.375,-15.875
3,16.375,-15.625
4,16.375,-15.375
5,16.375,-13.625
6,16.375,-13.125
7,16.375,-12.875
8,16.375,-12.625
9,16.375,-12.375
10,16.375,-12.125
11,16.375,-11.875
12,16.375,-11.625
13,16.375,-10.625
14,16.375,-10.375
15,16.375,-9.875
16,16.375,-9.625
17,16.375,-9.375
18,16.375,-9.125
19,16.125,-16.375
20,16.125,-16.125
21,16.125,-15.875
22,16.125,-15.625
23,16.125,-15.375
24,16.125,-14.125
25,16.125,-13.875
26,16.125,-13.625
27,16.125,-13.375
28,16.125,-13.125
29,16.125,-12.875
30,16.125,-12.625
31,16.125,-12.375
32,16.125,-12.125
33,16.125,-11.875
34,16.125,-11.625
35,16.125,-11.375
36,16.125,-11.125
37,16.125,-10.875
38,16.125,-10.625
39,16.125,-10.375
40,16.125,-10.125
41,16.125,-9.875
42,16.125,-9.625
43,16.125,-9.375
44,16.125,-9.125
45,16.125,4.625
46,16.125,4.875
47,15.875,-16.375
48,15.875,-16.125
49,15.875,-14.625
50,15.875,-14.375
51,15.875,-14.125
52,15.875,-13.875
53,15.875,-13.625
54,15.875,-13.375
55,15.875,-13.125
56,15.875,-12.875
57,15.875,-12.625
58,15.875,-12.125
59,15.875,-11.875
60,15.875,-11.625
61,15.875,-11.375
62,15.875,-11.125
63,15.875,-10.875
64,15.875,-10.625
65,15.875,-10.375
66,15.875,-10.125
67,15.875,-9.875
68,15.875,-9.625
69,15.875,-9.375
70,15.875,-9.125
71,15.875,4.875
72,15.875,23.625
73,15.875,38.125
74,15.875,38.375
75,15.875,38.625
76,15.625,-14.625
77,15.625,-14.375
78,15.625,-14.125
79,15.625,-13.875
80,15.625,-13.375
81,15.625,-13.125
82,15.625,-12.875
83,15.625,-12.625
84,15.625,-12.125
85,15.625,-11.875
86,15.625,-11.625
87,15.625,-11.375
88,15.625,-11.125
89,15.625,-10.875
90,15.625,-10.625
91,15.625,-10.375
92,15.625,-10.125
93,15.625,-9.875
94,15.625,-9.625
95,15.625,-9.375
96,15.625,-9.125
97,15.625,-4.375
98,15.625,-4.125
99,15.625,-3.875
100,15.625,4.625
101,15.625,4.875
102,15.625,5.125
103,15.625,5.375
104,15.625,5.625
105,15.625,5.875
106,15.625,7.125
107,15.625,23.875
108,15.625,37.625
109,15.625,37.875
110,15.625,38.125
111,15.625,38.375
112,15.625,38.625
113,15.625,38.875
114,15.375,-16.875
115,15.375,-16.375
116,15.375,-14.625
117,15.375,-14.375
118,15.375,-14.125
119,15.375,-13.875
120,15.375,-13.375
121,15.375,-13.125
122,15.375,-12.875
123,15.375,-12.625
124,15.375,-12.375
125,15.375,-12.125
126,15.375,-11.875
127,15.375,-11.375
128,15.375,-11.125
129,15.375,-10.875
130,15.375,-10.625
131,15.375,-10.375
132,15.375,-10.125
133,15.375,-9.875
134,15.375,-9.625
135,15.375,-9.375
136,15.375,-9.125
137,15.375,-8.875
138,15.375,-8.625
139,15.375,-8.375
140,15.375,-8.125
141,15.375,-7.875
142,15.375,-7.625
143,15.375,-7.375
144,15.375,-7.125
145,15.375,-6.375
146,15.375,-5.875
147,15.375,-4.625
148,15.375,-4.375
149,15.375,-4.125
150,15.375,-3.875
151,15.375,-3.625
152,15.375,-2.375
153,15.375,-2.125
154,15.375,-1.875
155,15.375,-1.375
156,15.375,-1.125
157,15.375,2.875
158,15.375,3.125
159,15.375,3.375
160,15.375,4.125
161,15.375,4.375
162,15.375,4.625
163,15.375,4.875
164,15.375,5.125
165,15.375,5.375
166,15.375,5.625
167,15.375,5.875
168,15.375,6.125
169,15.375,6.375
170,15.375,6.625
171,15.375,7.125
172,15.375,7.375
173,15.375,37.125
174,15.375,37.375
175,15.375,37.625
176,15.375,38.625
177,15.375,38.875
178,15.125,-16.875
179,15.125,-16.625
180,15.125,-16.375
181,15.125,-16.125
182,15.125,-14.625
183,15.125,-14.375
184,15.125,-14.125
185,15.125,-13.875
186,15.125,-13.125
187,15.125,-12.875
188,15.125,-12.625
189,15.125,-12.375
190,15.125,-12.125
191,15.125,-11.875
192,15.125,-11.375
193,15.125,-11.125
194,15.125,-10.875
195,15.125,-10.625
196,15.125,-10.375
197,15.125,-10.125
198,15.125,-9.875
199,15.125,-9.625
200,15.125,-9.375
201,15.125,-9.125
202,15.125,-8.875
203,15.125,-8.625
204,15.125,-8.375
205,15.125,-8.125
206,15.125,-7.875
207,15.125,-7.625
208,15.125,-7.375
209,15.125,-7.125
210,15.125,-6.875
