FID,DOY,LAT,LON
0,190,16.375,-16.375
1,192,16.375,-16.375
2,193,16.375,-16.375
3,192,16.375,-16.375
4,191,16.375,-16.375
5,182,16.375,-16.375
6,190,16.375,-16.375
7,189,16.375,-16.375
8,190,16.375,-16.125
9,191,16.375,-16.125
10,191,16.375,-16.125
11,191,16.375,-16.125
12,190,16.375,-15.875
13,190,16.375,-15.875
14,190,16.375,-15.875
15,190,16.375,-15.625
16,190,16.375,-15.625
17,190,16.375,-15.625
18,190,16.375,-15.375
19,190,16.375,-15.375
20,190,16.375,-15.375
21,190,16.375,-13.625
22,187,16.375,-13.125
23,187,16.375,-13.125
24,187,16.375,-13.125
25,190,16.375,-13.125
26,190,16.375,-13.125
27,190,16.375,-13.125
28,190,16.375,-12.875
29,190,16.375,-12.875
30,190,16.375,-12.875
31,187,16.375,-12.625
32,187,16.375,-12.625
33,187,16.375,-12.625
34,187,16.375,-12.625
35,190,16.375,-12.625
36,187,16.375,-12.375
37,187,16.375,-12.375
38,190,16.375,-12.375
39,190,16.375,-12.375
40,190,16.375,-12.375
41,190,16.375,-12.375
42,190,16.375,-12.125
43,190,16.375,-12.125
44,190,16.375,-12.125
45,190,16.375,-12.125
46,190,16.375,-12.125
47,191,16.375,-12.125
48,188,16.375,-12.125
49,190,16.375,-11.875
50,190,16.375,-11.875
51,190,16.375,-11.875
52,188,16.375,-11.875
53,188,16.375,-11.875
54,188,16.375,-11.875
55,179,16.375,-11.875
56,179,16.375,-11.875
57,179,16.375,-11.875
58,190,16.375,-11.625
59,189,16.375,-11.625
60,189,16.375,-11.625
61,188,16.375,-11.625
62,188,16.375,-11.625
63,188,16.375,-11.625
64,179,16.375,-11.625
65,179,16.375,-11.625
66,179,16.375,-11.625
67,186,16.375,-10.625
68,186,16.375,-10.625
69,186,16.375,-10.625
70,186,16.375,-10.625
71,186,16.375,-10.625
72,186,16.375,-10.625
73,180,16.375,-10.625
74,180,16.375,-10.625
75,180,16.375,-10.625
76,186,16.375,-10.375
77,186,16.375,-10.375
78,186,16.375,-10.375
79,186,16.375,-10.375
80,186,16.375,-10.375
81,186,16.375,-10.375
82,186,16.375,-10.375
83,181,16.375,-9.875
84,186,16.375,-9.875
85,180,16.375,-9.875
86,181,16.375,-9.875
87,181,16.375,-9.625
88,181,16.375,-9.625
89,181,16.375,-9.625
90,181,16.375,-9.375
91,181,16.375,-9.375
