FID,LAT,LON,MONTH,DAY
0,16.375,-16.375,7,9
1,16.375,-16.125,7,9
2,16.375,-15.875,7,8
3,16.375,-15.625,7,8
4,16.375,-15.375,7,8
5,16.375,-13.625,7,8
6,16.375,-13.125,7,8
7,16.375,-12.875,7,8
8,16.375,-12.625,7,5
9,16.375,-12.375,7,8
10,16.375,-12.125,7,8
11,16.375,-11.875,7,6
12,16.375,-11.625,7,6
13,16.375,-10.625,7,4
14,16.375,-10.375,7,4
15,16.375,-9.875,6,29
16,16.375,-9.625,6,29
17,16.375,-9.375,6,29
18,16.375,-9.125,6,29
19,16.125,-16.375,6,29
20,16.125,-16.125,6,29
21,16.125,-15.875,6,29
22,16.125,-15.625,7,7
23,16.125,-15.375,7,1
24,16.125,-14.125,7,8
25,16.125,-13.875,7,8
26,16.125,-13.625,7,6
27,16.125,-13.375,7,4
28,16.125,-13.125,6,28
29,16.125,-12.875,6,28
30,16.125,-12.625,6,27
31,16.125,-12.375,6,27
32,16.125,-12.125,6,27
33,16.125,-11.875,6,22
34,16.125,-11.625,6,22
35,16.125,-11.375,6,22
36,16.125,-11.125,6,22
37,16.125,-10.875,6,24
38,16.125,-10.625,6,28
39,16.125,-10.375,6,28
40,16.125,-10.125,6,28
41,16.125,-9.875,6,28
42,16.125,-9.625,6,28
43,16.125,-9.375,6,28
44,16.125,-9.125,6,28
45,16.125,4.625,6,28
46,16.125,4.875,6,28
47,15.875,-16.375,6,19
48,15.875,-16.125,6,21
49,15.875,-14.625,6,28
50,15.875,-14.375,6,28
51,15.875,-14.125,6,28
52,15.875,-13.875,6,28
53,15.875,-13.625,6,28
54,15.875,-13.375,6,26
55,15.875,-13.125,6,20
56,15.875,-12.875,6,21
57,15.875,-12.625,6,21
58,15.875,-12.125,6,18
59,15.875,-11.875,6,19
60,15.875,-11.625,6,22
61,15.875,-11.375,6,22
62,15.875,-11.125,6,22
63,15.875,-10.875,6,22
64,15.875,-10.625,6,22
65,15.875,-10.375,6,25
66,15.875,-10.125,6,25
67,15.875,-9.875,6,25
68,15.875,-9.625,6,25
69,15.875,-9.375,6,25
70,15.875,-9.125,6,25
71,15.875,4.875,6,19
72,15.875,23.625,6,22
73,15.875,38.125,6,16
74,15.875,38.375,6,12
75,15.875,38.625,6,7
76,15.625,-14.625,6,18
77,15.625,-14.375,6,21
78,15.625,-14.125,6,21
79,15.625,-13.875,6,22
80,15.625,-13.375,6,17
81,15.625,-13.125,6,18
82,15.625,-12.875,6,20
83,15.625,-12.625,6,21
84,15.625,-12.125,6,19
85,15.625,-11.875,6,19
86,15.625,-11.625,6,19
87,15.625,-11.375,6,13
88,15.625,-11.125,6,17
89,15.625,-10.875,6,21
90,15.625,-10.625,6,21
91,15.625,-10.375,6,22
92,15.625,-10.125,6,22
93,15.625,-9.875,6,22
94,15.625,-9.625,6,10
95,15.625,-9.375,6,10
96,15.625,-9.125,6,10
97,15.625,-4.375,6,27
98,15.625,-4.125,6,27
99,15.625,-3.875,6,27
100,15.625,4.625,6,16
101,15.625,4.875,6,16
102,15.625,5.125,6,16
103,15.625,5.375,6,16
104,15.625,5.625,6,16
105,15.625,5.875,6,19
106,15.625,7.125,6,25
107,15.625,23.875,6,25
108,15.625,37.625,6,19
109,15.625,37.875,6,19
110,15.625,38.125,6,16
111,15.625,38.375,6,16
112,15.625,38.625,5,25
113,15.625,38.875,5,22
114,15.375,-16.875,6,10
115,15.375,-16.375,6,9
116,15.375,-14.625,6,17
117,15.375,-14.375,6,17
118,15.375,-14.125,6,17
119,15.375,-13.875,6,17
120,15.375,-13.375,6,18
121,15.375,-13.125,6,18
122,15.375,-12.875,6,10
123,15.375,-12.625,6,10
124,15.375,-12.375,6,9
125,15.375,-12.125,6,8
126,15.375,-11.875,6,12
127,15.375,-11.375,6,19
128,15.375,-11.125,6,12
129,15.375,-10.875,6,19
130,15.375,-10.625,6,16
131,15.375,-10.375,6,18
132,15.375,-10.125,6,18
133,15.375,-9.875,6,18
134,15.375,-9.625,6,22
135,15.375,-9.375,6,18
136,15.375,-9.125,6,13
137,15.375,-8.875,6,13
138,15.375,-8.625,6,13
139,15.375,-8.375,6,13
140,15.375,-8.125,6,10
141,15.375,-7.875,6,22
142,15.375,-7.625,6,22
143,15.375,-7.375,6,22
144,15.375,-7.125,6,18
145,15.375,-6.375,6,18
146,15.375,-5.875,6,22
147,15.375,-4.625,6,29
148,15.375,-4.375,6,24
149,15.375,-4.125,6,24
150,15.375,-3.875,6,24
151,15.375,-3.625,6,24
152,15.375,-2.375,6,27
153,15.375,-2.125,6,28
154,15.375,-1.875,6,28
155,15.375,-1.375,6,28
156,15.375,-1.125,6,28
157,15.375,2.875,6,28
158,15.375,3.125,6,22
159,15.375,3.375,6,22
160,15.375,4.125,6,9
161,15.375,4.375,6,8
162,15.375,4.625,6,7
163,15.375,4.875,6,16
164,15.375,5.125,6,16
165,15.375,5.375,6,16
166,15.375,5.625,6,8
167,15.375,5.875,6,8
168,15.375,6.125,6,8
169,15.375,6.375,6,8
170,15.375,6.625,6,24
171,15.375,7.125,6,25
172,15.375,7.375,6,25
173,15.375,37.125,6,24
174,15.375,37.375,6,23
175,15.375,37.625,6,23
176,15.375,38.625,5,25
177,15.375,38.875,5,24
178,15.125,-16.875,6,11
179,15.125,-16.625,6,9
180,15.125,-16.375,6,12
181,15.125,-16.125,6,12
182,15.125,-14.625,6,18
183,15.125,-14.375,6,18
184,15.125,-14.125,6,18
185,15.125,-13.875,6,13
186,15.125,-13.125,6,9
187,15.125,-12.875,6,9
188,15.125,-12.625,6,6
189,15.125,-12.375,6,6
190,15.125,-12.125,6,6
191,15.125,-11.875,6,6
192,15.125,-11.375,6,8
193,15.125,-11.125,6,7
194,15.125,-10.875,6,12
195,15.125,-10.625,6,16
196,15.125,-10.375,6,12
197,15.125,-10.125,6,12
198,15.125,-9.875,6,10
199,15.125,-9.625,6,10
200,15.125,-9.375,6,13
201,15.125,-9.125,6,13
202,15.125,-8.875,6,13
203,15.125,-8.625,6,13
204,15.125,-8.375,6,7
205,15.125,-8.125,6,7
206,15.125,-7.875,6,7
207,15.125,-7.625,6,7
208,15.125,-7.375,6,7
209,15.125,-7.125,6,16
210,15.125,-6.875,6,16
211,15.125,-6.625,6,16
212,15.125,-6.375,6,16
213,15.125,-6.125,6,16
214,15.125,-5.625,6,22
215,15.125,-5.375,6,24
216,15.125,-5.125,6,25
217,15.125,-4.875,6,23
218,15.125,-4.625,6,24
219,15.125,-4.375,6,24
220,15.125,-4.125,6,22
221,15.125,-3.875,6,22
222,15.125,-1.375,6,22
223,15.125,-1.125,6,22
224,15.125,-0.875,6,28
225,15.125,-0.625,6,27
226,15.125,-0.375,6,27
227,15.125,1.125,6,24
228,15.125,2.625,6,27
229,15.125,3.125,6,22
230,15.125,4.125,6,8
231,15.125,4.375,6,8
232,15.125,4.625,6,7
233,15.125,4.875,6,2
234,15.125,5.125,6,2
235,15.125,5.375,6,8
236,15.125,5.625,6,8
237,15.125,5.875,6,8
238,15.125,6.125,6,8
239,15.125,6.375,6,8
240,15.125,9.125,6,25
241,15.125,22.125,6,20
242,15.125,36.375,6,25
243,15.125,36.625,6,25
244,15.125,36.875,6,25
245,15.125,37.125,6,24
246,15.125,37.375,6,23
247,15.125,37.625,6,22
248,15.125,37.875,6,11
249,15.125,38.625,5,26
250,15.125,38.875,5,26
251,15.125,39.125,5,24
252,15.125,39.625,6,13
253,14.875,-17.125,6,12
254,14.875,-16.875,6,12
255,14.875,-16.625,6,13
256,14.875,-16.375,6,13
257,14.875,-16.125,6,13
258,14.875,-15.875,6,13
259,14.875,-15.625,6,13
260,14.875,-15.375,6,13
261,14.875,-14.625,6,11
262,14.875,-14.375,6,12
263,14.875,-12.875,6,6
264,14.875,-12.625,6,6
265,14.875,-12.375,6,6
266,14.875,-12.125,6,8
267,14.875,-11.875,6,8
268,14.875,-11.625,6,8
269,14.875,-11.375,6,8
270,14.875,-11.125,6,11
271,14.875,-10.875,6,11
272,14.875,-10.625,6,11
273,14.875,-10.375,6,8
274,14.875,-10.125,6,8
275,14.875,-9.875,6,8
276,14.875,-9.625,6,8
277,14.875,-9.375,6,7
278,14.875,-9.125,6,7
279,14.875,-8.875,6,7
280,14.875,-8.625,6,7
281,14.875,-8.375,6,7
282,14.875,-8.125,6,7
283,14.875,-7.875,6,7
284,14.875,-7.625,6,7
285,14.875,-7.375,6,7
286,14.875,-6.875,6,7
287,14.875,-6.625,6,6
288,14.875,-6.375,6,6
289,14.875,-6.125,6,6
290,14.875,-5.875,6,5
291,14.875,-5.625,6,11
292,14.875,-5.375,6,10
293,14.875,-4.875,6,24
294,14.875,-4.625,6,19
295,14.875,-4.375,6,12
296,14.875,-4.125,6,6
297,14.875,-3.875,6,4
298,14.875,-3.625,6,2
299,14.875,-3.375,6,6
300,14.875,-3.125,6,2
301,14.875,-2.875,6,17
302,14.875,-1.375,6,21
303,14.875,-0.375,6,27
304,14.875,-0.125,6,27
305,14.875,0.125,6,24
306,14.875,0.625,6,28
307,14.875,3.125,6,17
308,14.875,3.375,6,8
309,14.875,3.625,6,8
310,14.875,3.875,6,8
311,14.875,4.125,6,8
312,14.875,4.375,6,8
313,14.875,4.625,6,7
314,14.875,4.875,6,2
315,14.875,5.125,6,2
316,14.875,5.375,5,27
317,14.875,7.375,6,8
318,14.875,7.625,6,8
319,14.875,7.875,6,5
320,14.875,8.125,6,8
321,14.875,9.125,6,21
322,14.875,22.125,6,20
323,14.875,36.625,6,25
324,14.875,36.875,6,22
325,14.875,37.375,6,19
326,14.875,37.625,6,10
327,14.875,37.875,5,27
328,14.875,38.125,5,8
329,14.875,38.375,5,8
330,14.875,38.625,5,26
331,14.875,38.875,5,29
332,14.875,39.125,5,30
333,14.875,39.375,5,26
334,14.625,-17.375,6,16
335,14.625,-17.125,6,13
336,14.625,-16.875,6,13
337,14.625,-16.625,6,13
338,14.625,-16.375,6,14
339,14.625,-16.125,6,14
340,14.625,-15.875,6,17
341,14.625,-15.625,6,12
342,14.625,-15.375,6,18
343,14.625,-15.125,6,18
344,14.625,-14.875,6,12
345,14.625,-14.625,6,16
346,14.625,-14.375,6,17
347,14.625,-13.875,6,15
348,14.625,-13.375,6,12
349,14.625,-12.625,6,9
350,14.625,-12.375,6,9
351,14.625,-12.125,6,9
352,14.625,-11.875,6,6
353,14.625,-11.625,6,8
354,14.625,-11.375,6,8
355,14.625,-11.125,6,8
356,14.625,-10.875,6,8
357,14.625,-10.625,6,8
358,14.625,-10.375,6,11
359,14.625,-10.125,6,11
360,14.625,-9.875,6,8
361,14.625,-9.625,6,8
362,14.625,-9.375,6,8
363,14.625,-9.125,6,7
364,14.625,-8.875,6,7
365,14.625,-8.625,6,8
366,14.625,-8.375,6,8
367,14.625,-8.125,6,8
368,14.625,-7.875,6,6
369,14.625,-7.625,6,6
370,14.625,-7.375,6,6
371,14.625,-7.125,6,6
372,14.625,-6.875,6,6
373,14.625,-6.625,6,7
