country_str,market_location_str,commodity,latitude,longitude,beta,std_error
Benin,Abomey,Maize,7.18127,1.9934,0.2372132,0.1462024
Benin,Cotonou,Maize,6.35459,2.40374,0.5788585,0.134546
Benin,Natitingou,Maize,10.30417,1.3803,0.2807489,0.1403898
Benin,Parakou,Maize,9.3431,2.62575,0.5854777,0.1394575
Burundi,Bujumbura,Maize,-3.38227,29.363581,0.7606392,0.0929845
Burundi,Gitega,Maize,-3.433333,29.9,0.6745977,0.0952566
Burundi,Ngozi,Maize,-2.9,29.833333,0.8190912,0.1082432
Cameroon,Bafoussam,Maize,5.466667,10.416667,1.026726,0.054761
Cameroon,Bamenda,Maize,5.933333,10.166667,1.074687,0.054761
Cameroon,Douala,Maize,4.05,9.683333,1.256003,0.054761
Cameroon,Garoua,Maize,9.3,13.4,0.8473248,0.054761
Cameroon,Yaunde,Maize,3.866667,11.516667,1.264748,0.054761
Central African Republic,Bangui,Maize,4.36263,18.58198,1.043851,0.1093399
Chad,Bol,Maize,13.46,14.74,0.6154105,0.0590009
Chad,Moussoro,Maize,13.643056,16.491944,0.9481799,0.0590017
Chad,N'Djamena,Maize,12.11218,15.06897,0.9236249,0.0590054
Democratic Republic Congo,Goma,Maize,-1.683333,29.233333,0.5481625,0.1092766
Ethiopia,Addis Ababa,Maize,8.980603,38.757759,0.3478875,0.0411602
Ethiopia,Bahirdar,Maize,11.58879,37.388119,0.308252,0.0411602
Ethiopia,Diredawa,Maize,9.61593,42.03636,0.4976855,0.0412896
Ethiopia,Jimma,Maize,7.67019,36.833359,0.1553867,0.0487308
Ethiopia,Mekele,Maize,13.483333,39.466667,0.4863651,0.0412102
Ethiopia,Nekemet,Maize,9.083333,36.55,0.1278846,0.0487308
Ethiopia,Shashemene,Maize,7.2,38.6,0.2979054,0.0488419
Ghana,Accra,Maize,5.603717,-0.186964,0.8683175,0.0479346
Ghana,Bolgatanga,Maize,10.7839,-0.85409,0.5751206,0.0479346
Ghana,Kumasi,Maize,6.69507,-1.6158,0.7860496,0.0479346
Ghana,Tamale,Maize,9.4075,-0.853333,0.4893362,0.0491823
Ghana,Techiman,Maize,7.58647,-1.93943,0.4108834,0.0479346
Ghana,Wa,Maize,10.066667,-2.5,0.5110644,0.049181
Kenya,Eldoret,Maize,0.51847,35.273911,0.5163989,0.0525099
Kenya,Kisumu,Maize,-0.10309,34.756062,0.6980909,0.052459
Kenya,Mombasa,Maize,-4.05746,39.66394,0.6208953,0.0534931
Kenya,Nairobi,Maize,-1.292066,36.821945,0.503968,0.0535179
Kenya,Nakuru,Maize,-0.28149,36.078419,0.503968,0.0535179
Malawi,Lilongwe,Maize,-13.99572,33.759819,0.192098,0.0563968
Malawi,Liwonde,Maize,-15.066667,35.233333,0.0851397,0.0604103
Malawi,Lizulu,Maize,-14.4384,34.4226,-0.0004866,0.0588453
Malawi,Mzimba,Maize,-11.89707,33.59499,0.0743455,0.0580402
Malawi,Mzuzu,Maize,-11.46123,34.0202,0.0730929,0.0555646
Malawi,Nsanje,Maize,-16.92734,35.25889,0.1721607,0.0559237
Mozambique,Angonia,Maize,-14.716667,34.366667,0.0532965,0.037965
Mozambique,Chokwe,Maize,-24.525278,33.008611,0.3990415,0.039051
Mozambique,Gorongosa,Maize,-18.683333,34.066667,0.0705712,0.0390544
Mozambique,Manica,Maize,-18.934444,32.875556,0.156866,0.0382047
Mozambique,Maputo,Maize,-25.966667,32.583333,0.5790738,0.0304202
