country_str,market_location_str,commodity,latitude,longitude,beta,std_error
Benin,Banikoara,Urea,11.3,2.433333,0.2025356,0.0812819
Benin,Cotonou,Urea,6.366667,2.433333,0.4337644,0.0741233
Benin,Dassa,Urea,7.75,2.183333,0.1835489,0.0872304
Benin,Djidja,Urea,7.333333,1.933333,0.5169419,0.0842471
Benin,Ketou,Urea,7.358056,2.6075,0.2583923,0.0759688
Benin,Sinende,Urea,10.344722,2.379167,0.1906108,0.0781227
Burkina Faso,Banfora,Urea,10.64152,-4.76206,0.5713922,0.0758241
Burkina Faso,Bobo Dioulasso,Urea,11.18033,-4.29466,0.6568138,0.0751208
Burkina Faso,Koudougou,Urea,12.25168,-2.36666,0.8148224,0.0865762
Burkina Faso,Ouahigouya,Urea,13.57453,-2.41366,0.6802913,0.0815953
Burundi,Bujumbura,Urea,-3.38227,29.363581,0.9286662,0.0918956
Burundi,Gitega,Urea,-3.428803,29.924904,0.8445203,0.0953103
Burundi,Kayanza,Urea,-2.9219,29.62423,0.5734816,0.1029159
Burundi,Ngozi,Urea,-2.91084,29.82443,0.9600574,0.0942367
Cote d'Ivoire,Abidjan,Urea,5.34939,-4.01705,0.7430184,0.0705372
Cote d'Ivoire,Bouake,Urea,7.683333,-5.016667,0.8300552,0.0747279
Cote d'Ivoire,Daloa,Urea,6.883333,-6.45,0.797746,0.0754579
Cote d'Ivoire,Divo,Urea,5.833333,-5.366667,0.5455625,0.0878418
Cote d'Ivoire,Korhogo,Urea,9.416667,-5.616667,0.7634379,0.0695441
Cote d'Ivoire,San Pedro,Urea,4.75,-6.633333,0.8200276,0.0722715
Cote d'Ivoire,Yamoussoukro,Urea,6.816667,-5.283333,0.7621931,0.074416
Ghana,Accra,Urea,5.603717,-0.186964,0.565602,0.0814994
Ghana,Bolgatanga,Urea,10.7839,-0.85409,0.5348798,0.0947304
Ghana,Elmina,Urea,5.083333,-1.35,0.4603431,0.0863432
Ghana,Ho,Urea,6.611944,0.470278,0.6443444,0.0734646
Ghana,Kumasi,Urea,6.69507,-1.6158,0.5607976,0.0954708
Ghana,Tamale,Urea,9.4075,-0.853333,0.5772706,0.075712
Ghana,Techiman,Urea,7.58647,-1.93943,0.5295673,0.0807283
Kenya,Embu,Urea,-0.533333,37.616667,0.710332,0.0709842
Kenya,Kisumu,Urea,-0.10309,34.756062,0.8043847,0.0743814
Kenya,Mombasa,Urea,-4.05746,39.66394,0.7997313,0.0790099
Kenya,Nairobi,Urea,-1.292066,36.821945,0.7468477,0.0699656
Kenya,Naivasha,Urea,-0.716667,36.433333,0.6836932,0.0842253
Malawi,Lilongwe,Urea,-13.99572,33.759819,1.024869,0.1409028
Mali,Bamako,Urea,12.639167,-8.0027779,0.7165612,0.0589539
Mali,Koutiala,Urea,12.383333,-5.466667,0.5812369,0.0587652
Mali,Mopti,Urea,14.495833,-4.198611,0.6937185,0.0626944
Mali,Niono,Urea,14.25,-5.986111,0.5877153,0.0594544
Mali,Segou,Urea,13.45,-6.266667,0.5928728,0.0618451
Mali,Sikasso,Urea,11.316667,-5.666667,0.6288077,0.0592659
Mozambique,Angonia,Urea,-14.716667,34.366667,0.8271589,0.062977
Mozambique,Beira,Urea,-19.833333,34.85,1.001069,0.0589024
Mozambique,Buzi,Urea,-19.884167,34.594444,0.8172167,0.0679667
Mozambique,Chimoio,Urea,-19.116389,33.483333,1.015867,0.0598447
Mozambique,Manica,Urea,-18.934444,32.875556,0.9694865,0.0619372
Mozambique,Mocuba,Urea,-16.85,36.983333,0.9736905,0.0602785
Mozambique,Nampula,Urea,-15.116667,39.266667,1.180168,0.0679425
Mozambique,Quelimane,Urea,-17.876389,36.887222,1.125179,0.0720417
