LocationID,Country,Location,Region,Latitude,Longitude,ElevM,File1,File2,File3,File4
5,ANGOLA,ANGOLA,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
6,ANGOLA,CABINDA,Eastern and Southern Africa,-5.6,12.2,22,lat-5.625_long12.125.txt,,,
7,ANGOLA,CACUSO,Eastern and Southern Africa,-9.42,15.75,1067,lat-9.375_long15.625.txt,lat-9.375_long15.875.txt,,
8,ANGOLA,CELA,Eastern and Southern Africa,-11.42,15.12,1305,lat-11.375_long15.125.txt,,,
9,ANGOLA,CHIANGA,Eastern and Southern Africa,-12.73,15.83,1693,lat-12.625_long15.875.txt,,,
10,ANGOLA,HUMPATA,Eastern and Southern Africa,-15.03,13.43,1890,lat-15.125_long13.375.txt,,,
11,ANGOLA,KILOMBA,Eastern and Southern Africa,-8.9,14.7,514,lat-8.875_long14.625.txt,,,
12,ANGOLA,KILOMBO,Eastern and Southern Africa,-8.91,14.73,766,lat-8.875_long14.625.txt,,,
13,ANGOLA,KILOMBO EXPERIMENTAL STATION,Eastern and Southern Africa,-8.9,14.7,514,lat-8.875_long14.625.txt,,,
14,ANGOLA,MALANGE,Eastern and Southern Africa,-9.533,16.333,1149,lat-9.625_long16.375.txt,,,
15,ANGOLA,MAZOZO,Eastern and Southern Africa,-9.1,13.7,41,lat-9.125_long13.625.txt,,,
16,ANGOLA,MAZOZO EXPERIMENTAL STATION,Eastern and Southern Africa,-9.1,13.7,41,lat-9.125_long13.625.txt,,,
17,ANGOLA,POLIGNO-FLORESTA,Eastern and Southern Africa,-9.52,16.32,1162,lat-9.625_long16.375.txt,,,
18,ANGOLA,ST. VINCENT,Eastern and Southern Africa,-5.57,12.2,57,lat-5.625_long12.125.txt,,,
77,BOTSWANA,GOODHOPE,Eastern and Southern Africa,-25.48,25.47,1268,lat-25.375_long25.375.txt,,,
78,BOTSWANA,HUKUNTSI,Eastern and Southern Africa,-24,21.8,1140,lat-24.125_long21.875.txt,lat-23.875_long21.875.txt,,
79,BOTSWANA,PANDAMATENGA,Eastern and Southern Africa,-18.55,25.65,1071,lat-18.625_long25.625.txt,,,
80,BOTSWANA,PELOTSHETLHA,Eastern and Southern Africa,-23.03,26.517,1111,lat-23.125_long26.625.txt,,,
81,BOTSWANA,SEBELE,Eastern and Southern Africa,-24.57,25.95,995,lat-24.625_long25.875.txt,,,
82,BOTSWANA,SEBELE-LOWN,Eastern and Southern Africa,-24.6,26,979,lat-24.625_long25.875.txt,lat-24.625_long26.125.txt,,
210,CONGO,TSHIBATI,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
278,ERITREA,HALHALE,Eastern and Southern Africa,15,39,1837,lat14.875_long38.875.txt,lat15.125_long38.875.txt,lat14.875_long39.125.txt,lat15.125_long39.125.txt
279,ERITREA,SHAMBIKO,Eastern and Southern Africa,14.92,37.83,906,lat14.875_long37.875.txt,,,
286,ETHIOPIA,BAKO,Eastern and Southern Africa,9.1,37.15,1680,lat9.125_long37.125.txt,,,
295,ETHIOPIA,MELKASA,Eastern and Southern Africa,8.4,39.33,1545,lat8.375_long39.375.txt,,,
299,ETHIOPIA,NULL,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
300,ETHIOPIA,PAWE,Eastern and Southern Africa,11.23,38,1499,lat11.125_long37.875.txt,lat11.125_long38.125.txt,,
464,KENYA,ALUPE,Eastern and Southern Africa,0.5,34.11,1168,lat0.375_long34.125.txt,lat0.625_long34.125.txt,,
469,KENYA,BUNGOMA,Eastern and Southern Africa,0.567,34.567,1414,lat0.625_long34.625.txt,,,
474,KENYA,EMBU,Eastern and Southern Africa,-0.5,37.45,1492,lat-0.625_long37.375.txt,lat-0.375_long37.375.txt,,
480,KENYA,KAKAMEGA,Eastern and Southern Africa,0.27,34.74,1526,lat0.375_long34.625.txt,,,
487,KENYA,KIBOKO,Eastern and Southern Africa,-2.25,37.73,990,lat-2.375_long37.625.txt,lat-2.125_long37.625.txt,,
492,KENYA,KITALE,Eastern and Southern Africa,1.01,35,1859,lat1.125_long34.875.txt,lat1.125_long35.125.txt,,
501,KENYA,MTWAPA,Eastern and Southern Africa,-3.93,39.75,23,lat-3.875_long39.625.txt,lat-3.875_long39.875.txt,,
507,KENYA,SIGOR,Eastern and Southern Africa,1.483,35.467,976,lat1.375_long35.375.txt,,,
513,LESOTHO,LERIBE,Eastern and Southern Africa,-28.88,28.05,1621,lat-28.875_long28.125.txt,,,
515,LESOTHO,MACHACHE,Eastern and Southern Africa,-29.367,27.917,2337,lat-29.375_long27.875.txt,,,
516,LESOTHO,MAHOBONG,Eastern and Southern Africa,-28.88,28.05,1621,lat-28.875_long28.125.txt,,,
517,LESOTHO,MASERU,Eastern and Southern Africa,-29.28,27.5,1503,lat-29.375_long27.375.txt,lat-29.375_long27.625.txt,,
520,LESOTHO,NYAKOSOBA,Eastern and Southern Africa,-29.55,27.78,1942,lat-29.625_long27.875.txt,,,
521,LESOTHO,TEYATEYANENG,Eastern and Southern Africa,-29.15,27.75,1688,lat-29.125_long27.625.txt,lat-29.125_long27.875.txt,,
524,MALAWI,BAKA,Eastern and Southern Africa,-9.71,33.935,477,lat-9.875_long33.875.txt,lat-9.625_long33.875.txt,lat-9.875_long34.125.txt,lat-9.625_long34.125.txt
525,MALAWI,BAKA RESEARCH STATION,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
526,MALAWI,BEMBEKE,Eastern and Southern Africa,-14.17,34.43,1054,lat-14.125_long34.375.txt,,,
527,MALAWI,BOLERO,Eastern and Southern Africa,-10.983,33.75,1099,lat-10.875_long33.625.txt,lat-10.875_long33.875.txt,,
528,MALAWI,BVUMBWE,Eastern and Southern Africa,-15.92,35.07,1172,lat-15.875_long35.125.txt,,,
529,MALAWI,BWANJE,Eastern and Southern Africa,-14.08,34.93,474,lat-14.125_long34.875.txt,,,
530,MALAWI,CHITALA,Eastern and Southern Africa,-13.13,34.07,769,lat-13.125_long34.125.txt,,,
531,MALAWI,CHITEDZE,Eastern and Southern Africa,-13.98,33.63,1140,lat-13.875_long33.625.txt,,,
532,MALAWI,LUNYANGWA,Eastern and Southern Africa,-11.45,33.917,1290,lat-11.375_long33.875.txt,,,
533,MALAWI,MAKOKA,Eastern and Southern Africa,-14.7,35.6,856,lat-14.625_long35.625.txt,,,
